Date,Open,High,Low,Close,Volume
25-Jun-10,15.13,15.97,14.74,15.57,1560610
24-Jun-10,15.36,15.50,14.76,14.87,270162
23-Jun-10,15.40,15.58,14.91,15.31,308599
22-Jun-10,15.49,15.99,15.29,15.40,381812
21-Jun-10,16.19,16.40,15.25,15.36,344028
18-Jun-10,15.76,16.15,15.41,15.71,310029
17-Jun-10,16.02,16.47,15.51,15.75,355391
16-Jun-10,15.13,16.01,14.77,15.88,412911
15-Jun-10,14.62,15.21,14.35,15.21,204936
14-Jun-10,13.75,14.93,13.65,14.53,321256
11-Jun-10,13.60,14.34,13.48,13.73,344985
10-Jun-10,14.05,14.05,13.43,13.81,267569
9-Jun-10,14.01,14.18,13.19,13.30,251884
8-Jun-10,13.89,14.48,13.42,13.87,302692
7-Jun-10,14.75,14.98,13.40,13.58,390059
4-Jun-10,15.18,15.37,14.37,14.50,277848
3-Jun-10,15.52,15.86,15.26,15.44,270394
2-Jun-10,14.61,15.26,14.45,15.24,220451
1-Jun-10,15.60,16.00,14.57,14.57,339049
31-May-10,15.97,15.97,15.97,15.97,0
28-May-10,15.68,16.72,15.59,15.97,404548
27-May-10,14.26,15.81,14.17,15.73,446238
26-May-10,14.57,15.02,14.06,14.14,356220
25-May-10,13.08,14.16,12.64,14.13,366534
24-May-10,14.37,15.00,13.76,13.86,433542
21-May-10,13.24,14.92,12.97,14.60,589315
20-May-10,14.30,14.50,13.25,13.54,537722
19-May-10,14.99,15.67,14.36,15.00,499716
18-May-10,17.30,17.39,14.91,15.18,775105
17-May-10,18.12,18.27,16.29,16.82,445293
14-May-10,18.41,18.41,17.20,17.82,331341
13-May-10,18.89,19.40,18.11,18.24,261910
12-May-10,17.74,18.95,17.45,18.76,493024
11-May-10,19.77,20.24,17.26,17.52,890698
10-May-10,20.34,21.34,20.27,20.80,373986
7-May-10,20.02,20.19,18.03,19.16,537609
6-May-10,21.79,22.29,17.94,19.71,719220
5-May-10,22.54,22.75,19.76,21.89,884402
4-May-10,23.15,23.53,22.21,23.06,340411
3-May-10,22.74,23.89,22.74,23.54,302878
30-Apr-10,22.56,22.96,21.89,22.52,399363
29-Apr-10,21.73,22.85,21.68,22.59,471468
28-Apr-10,20.12,21.40,20.05,21.37,356112
27-Apr-10,19.54,20.80,19.41,19.73,410535
26-Apr-10,20.98,22.11,19.32,19.37,758400
23-Apr-10,19.33,21.61,19.25,20.74,787210
22-Apr-10,17.44,19.50,17.08,19.35,569818
21-Apr-10,16.58,17.64,16.27,17.49,353140
20-Apr-10,16.03,16.60,15.95,16.57,229466
19-Apr-10,15.51,16.19,15.06,16.06,225388
16-Apr-10,16.62,16.89,15.50,15.63,451459
15-Apr-10,15.02,16.91,15.00,16.67,505191
14-Apr-10,14.51,15.16,14.41,15.00,281735
13-Apr-10,14.90,15.09,14.40,14.58,247578
12-Apr-10,14.57,15.20,14.21,14.79,440439
9-Apr-10,15.82,16.08,13.92,14.57,980737
8-Apr-10,14.93,16.25,14.90,15.84,762826
7-Apr-10,13.84,14.95,13.83,14.90,487361
6-Apr-10,13.30,13.85,12.93,13.80,371009
5-Apr-10,12.32,13.78,12.32,13.48,616257
2-Apr-10,12.20,12.20,12.20,12.20,0
1-Apr-10,11.47,12.20,11.42,12.20,336753
31-Mar-10,10.88,11.49,10.71,11.33,261357
30-Mar-10,10.80,10.95,10.57,10.85,129312
29-Mar-10,11.01,11.32,10.56,10.78,266053
26-Mar-10,10.26,11.15,10.26,10.98,390649
25-Mar-10,9.50,10.39,9.48,10.24,365091
24-Mar-10,9.17,9.48,9.12,9.45,139563
23-Mar-10,8.81,9.28,8.71,9.20,128678
22-Mar-10,8.43,8.80,8.24,8.77,157277
19-Mar-10,8.73,8.75,8.40,8.40,167406
18-Mar-10,9.05,9.10,8.58,8.66,226616
17-Mar-10,10.19,10.19,8.35,8.97,961007
16-Mar-10,9.50,9.87,9.40,9.80,256774
15-Mar-10,9.45,9.59,9.25,9.53,206402
12-Mar-10,9.35,9.45,9.18,9.41,118201
11-Mar-10,9.27,9.40,9.02,9.29,167845
10-Mar-10,9.20,9.42,9.00,9.17,141258
9-Mar-10,9.14,9.34,9.08,9.21,149382
8-Mar-10,9.34,9.45,9.17,9.18,91461
5-Mar-10,9.25,9.37,9.22,9.34,111044
4-Mar-10,9.22,9.29,9.09,9.21,157385
3-Mar-10,9.10,9.28,9.09,9.21,141021
2-Mar-10,9.14,9.31,9.04,9.10,137797
1-Mar-10,8.83,9.15,8.75,9.13,211195
26-Feb-10,8.32,8.78,8.14,8.74,219028
