Date,Open,High,Low,Close,Volume
25-Jun-10,5.67,5.95,5.60,5.92,5378035
24-Jun-10,5.96,5.96,5.66,5.68,1090321
23-Jun-10,5.95,5.98,5.76,5.94,1398447
22-Jun-10,6.27,6.34,5.95,5.99,1223869
21-Jun-10,6.35,6.46,6.17,6.25,1279765
18-Jun-10,5.95,6.29,5.95,6.23,2118522
17-Jun-10,6.07,6.14,5.81,6.02,860246
16-Jun-10,5.89,6.12,5.89,6.08,1623813
15-Jun-10,5.78,6.03,5.78,6.00,1746538
14-Jun-10,5.64,5.85,5.55,5.78,1929231
11-Jun-10,5.19,5.51,5.14,5.46,1700405
10-Jun-10,5.01,5.21,4.95,5.14,2198422
9-Jun-10,4.94,5.09,4.79,4.91,1908328
8-Jun-10,5.19,5.19,4.70,4.92,2919409
7-Jun-10,5.42,5.49,5.02,5.05,2399171
4-Jun-10,5.70,5.70,5.35,5.36,2849653
3-Jun-10,5.84,5.96,5.64,5.76,2300734
2-Jun-10,5.79,5.93,5.63,5.75,2593675
1-Jun-10,6.07,6.25,5.77,5.79,2149575
31-May-10,6.14,6.14,6.14,6.14,0
28-May-10,6.10,6.29,5.98,6.14,1700953
27-May-10,5.75,6.11,5.62,6.11,2354283
26-May-10,5.64,5.75,5.50,5.54,1440636
25-May-10,5.50,5.60,5.35,5.56,2262150
24-May-10,5.70,5.77,5.54,5.62,2448331
21-May-10,5.56,5.92,5.47,5.69,3403137
20-May-10,5.90,5.94,5.60,5.65,2535987
19-May-10,6.24,6.30,5.88,6.13,2139358
18-May-10,6.52,6.56,6.19,6.22,1288102
17-May-10,6.45,6.56,6.19,6.43,1326091
14-May-10,6.51,6.56,6.26,6.41,1546820
13-May-10,6.66,6.80,6.51,6.60,1067475
12-May-10,6.46,6.74,6.43,6.72,1992948
11-May-10,6.40,6.50,6.30,6.39,2343315
10-May-10,6.29,6.48,6.26,6.42,1596168
7-May-10,6.09,6.13,5.70,5.98,3289844
6-May-10,6.52,6.57,5.30,6.00,4542113
5-May-10,6.47,6.68,6.18,6.52,2875680
4-May-10,6.88,6.89,6.45,6.57,3614684
3-May-10,6.92,7.17,6.91,7.12,1772559
30-Apr-10,7.37,7.37,6.85,6.89,2710754
29-Apr-10,7.20,7.39,7.17,7.30,3443304
28-Apr-10,7.10,7.24,7.03,7.15,1795318
27-Apr-10,7.42,7.44,7.07,7.11,2303964
26-Apr-10,7.11,7.43,7.10,7.40,2558457
23-Apr-10,7.13,7.17,6.97,7.13,1492114
22-Apr-10,6.93,7.15,6.83,7.15,1372915
21-Apr-10,6.94,7.04,6.82,7.01,1439578
20-Apr-10,6.91,7.01,6.84,6.92,1183541
19-Apr-10,6.98,7.08,6.57,6.84,3827162
16-Apr-10,7.26,7.41,6.89,7.09,3557754
15-Apr-10,7.18,7.36,7.15,7.32,2334373
14-Apr-10,6.95,7.19,6.92,7.19,2699582
13-Apr-10,6.90,6.93,6.75,6.87,1599846
12-Apr-10,7.00,7.06,6.91,6.92,1440347
9-Apr-10,7.04,7.10,6.81,6.96,1361711
8-Apr-10,6.99,7.04,6.91,6.97,1856266
7-Apr-10,6.80,7.17,6.80,7.01,4769578
6-Apr-10,6.65,6.82,6.60,6.81,2547087
5-Apr-10,6.49,6.70,6.43,6.65,2127325
2-Apr-10,6.43,6.43,6.43,6.43,0
1-Apr-10,6.10,6.43,6.10,6.43,3247662
31-Mar-10,5.89,6.16,5.89,6.13,2154657
30-Mar-10,6.01,6.04,5.95,5.98,1578650
29-Mar-10,5.87,6.06,5.87,6.01,1617020
26-Mar-10,5.90,5.99,5.84,5.91,1544283
25-Mar-10,5.91,6.04,5.87,5.90,1823185
24-Mar-10,5.96,5.96,5.83,5.85,1053725
23-Mar-10,5.92,6.03,5.85,5.98,1057117
22-Mar-10,5.70,5.92,5.66,5.91,1307152
19-Mar-10,5.98,6.00,5.77,5.78,2923679
18-Mar-10,6.02,6.06,5.97,5.97,1316268
17-Mar-10,5.71,6.08,5.71,6.02,5212743
16-Mar-10,5.48,5.74,5.48,5.70,2308061
15-Mar-10,5.56,5.64,5.45,5.46,1644401
12-Mar-10,5.50,5.61,5.45,5.58,2016334
11-Mar-10,5.63,5.63,5.30,5.45,2600281
10-Mar-10,5.73,5.73,5.55,5.63,1869375
9-Mar-10,5.28,5.77,5.28,5.74,4097368
8-Mar-10,5.39,5.40,5.17,5.35,1342463
5-Mar-10,5.23,5.34,5.20,5.28,1639962
4-Mar-10,5.23,5.27,5.02,5.23,1752948
3-Mar-10,4.97,5.24,4.97,5.15,9246136
2-Mar-10,5.01,5.02,4.87,4.92,1585721
1-Mar-10,4.82,4.98,4.71,4.98,3001238
26-Feb-10,4.91,5.10,4.67,4.75,12611386
25-Feb-10,4.79,4.84,4.61,4.83,2718962
24-Feb-10,4.62,4.75,4.51,4.61,1322990
23-Feb-10,4.74,4.78,4.48,4.61,1424414
22-Feb-10,4.72,4.83,4.64,4.74,804048
19-Feb-10,4.71,4.73,4.64,4.70,737182
18-Feb-10,4.73,4.80,4.62,4.72,875828
17-Feb-10,4.80,4.92,4.70,4.71,1134464
16-Feb-10,4.89,4.91,4.64,4.79,1081437
15-Feb-10,4.84,4.84,4.84,4.84,0
12-Feb-10,4.80,4.86,4.67,4.84,518243
11-Feb-10,4.66,4.87,4.61,4.84,442353
10-Feb-10,4.77,4.83,4.63,4.67,668798
9-Feb-10,4.67,4.85,4.62,4.81,698440
8-Feb-10,4.65,4.89,4.53,4.60,940071
5-Feb-10,4.90,4.90,4.43,4.69,2057410
4-Feb-10,5.28,5.30,4.85,4.87,1407986
3-Feb-10,5.30,5.43,5.28,5.34,772954
2-Feb-10,5.16,5.42,5.16,5.29,1645925
1-Feb-10,5.18,5.24,5.06,5.16,1837853
29-Jan-10,5.23,5.34,5.15,5.16,807447
28-Jan-10,5.47,5.52,5.17,5.26,745872
27-Jan-10,5.61,5.66,5.31,5.40,1511452
26-Jan-10,5.56,5.71,5.55,5.62,346486
25-Jan-10,5.65,5.75,5.60,5.63,676245
22-Jan-10,5.73,5.81,5.57,5.60,947393
21-Jan-10,6.10,6.11,5.70,5.73,1036035
20-Jan-10,6.07,6.08,5.85,6.07,791868
19-Jan-10,5.76,6.17,5.76,6.12,2754463
18-Jan-10,5.76,5.76,5.76,5.76,0
15-Jan-10,5.77,5.79,5.55,5.76,790042
14-Jan-10,5.82,5.88,5.68,5.77,868993
13-Jan-10,5.57,5.80,5.54,5.79,1073007
12-Jan-10,5.72,5.72,5.51,5.57,1027317
11-Jan-10,5.87,5.98,5.70,5.76,981505
8-Jan-10,5.78,5.85,5.68,5.85,562464
7-Jan-10,5.97,6.04,5.60,5.75,1428230
6-Jan-10,5.78,5.98,5.59,5.91,3668751
5-Jan-10,5.28,5.52,5.28,5.45,906503
4-Jan-10,5.39,5.40,5.26,5.33,820467
1-Jan-10,5.31,5.31,5.31,5.31,0
31-Dec-09,5.42,5.42,5.30,5.31,353768
30-Dec-09,5.47,5.47,5.25,5.41,558961
29-Dec-09,5.52,5.55,5.39,5.47,784213
28-Dec-09,5.52,5.59,5.40,5.45,596671
25-Dec-09,5.50,5.50,5.50,5.50,0
24-Dec-09,5.33,5.54,5.30,5.50,450671
23-Dec-09,5.27,5.34,5.19,5.28,426463
22-Dec-09,5.16,5.25,5.10,5.23,736888
21-Dec-09,5.06,5.14,5.06,5.10,425216
18-Dec-09,5.09,5.18,4.97,5.07,1131030
17-Dec-09,5.17,5.25,4.99,5.03,689096
16-Dec-09,5.20,5.28,5.06,5.22,1409636
15-Dec-09,5.04,5.24,4.99,5.21,1087561
14-Dec-09,5.02,5.14,5.00,5.09,608398
11-Dec-09,4.92,5.05,4.73,5.04,1383001
10-Dec-09,5.09,5.14,4.75,4.86,2731661
9-Dec-09,5.24,5.24,5.02,5.11,1271997
8-Dec-09,5.23,5.25,5.13,5.22,1215797
7-Dec-09,5.25,5.31,5.10,5.23,834970
