Date,Open,High,Low,Close,Volume
25-Jun-10,57.09,60.34,56.50,59.06,281852
24-Jun-10,58.46,58.92,56.86,57.05,70964
23-Jun-10,59.21,59.85,57.91,58.99,75977
22-Jun-10,61.93,63.47,59.24,59.25,74897
21-Jun-10,63.11,64.10,61.46,61.93,66245
18-Jun-10,62.55,63.21,61.67,62.48,86767
17-Jun-10,61.75,63.22,61.12,62.56,65353
16-Jun-10,62.09,62.85,61.44,61.72,78481
15-Jun-10,61.80,62.90,61.23,62.70,99504
14-Jun-10,61.00,63.32,60.80,61.30,159253
11-Jun-10,59.34,61.23,58.24,60.40,112615
10-Jun-10,58.50,59.98,58.15,59.61,75171
9-Jun-10,55.02,59.50,55.02,57.45,118044
8-Jun-10,54.92,56.22,52.63,54.90,175240
7-Jun-10,58.81,58.81,54.63,54.76,95597
4-Jun-10,60.12,60.12,58.01,58.50,91222
3-Jun-10,59.42,62.31,59.42,60.55,55723
2-Jun-10,59.08,60.81,58.26,59.94,89784
1-Jun-10,60.57,61.05,58.57,59.11,135126
31-May-10,61.23,61.23,61.23,61.23,0
28-May-10,62.32,63.02,60.39,61.23,87016
27-May-10,58.72,62.21,58.72,62.17,95108
26-May-10,58.02,59.93,57.51,57.75,134819
25-May-10,55.48,57.50,55.48,57.27,184434
24-May-10,57.15,58.86,57.00,57.20,96454
21-May-10,57.49,59.14,55.99,57.44,205470
20-May-10,58.26,59.80,57.09,57.65,205203
19-May-10,59.89,60.00,56.25,58.98,200718
18-May-10,62.57,64.60,61.08,61.37,89068
17-May-10,65.89,66.00,61.60,62.00,101853
14-May-10,64.75,65.65,63.52,65.08,99337
13-May-10,64.48,65.51,64.24,65.12,122606
12-May-10,62.55,65.27,62.53,65.12,97857
11-May-10,60.25,64.29,59.80,62.18,132975
10-May-10,61.59,62.13,59.97,60.68,109308
7-May-10,59.88,61.48,57.01,60.01,223334
6-May-10,61.06,61.47,29.24,59.75,203774
5-May-10,60.89,62.26,57.92,61.32,124934
4-May-10,63.26,63.26,60.75,61.85,207973
3-May-10,63.96,66.02,62.98,63.82,164281
30-Apr-10,62.82,65.44,62.35,63.68,273659
29-Apr-10,55.84,64.66,55.84,62.64,437961
28-Apr-10,54.62,56.14,54.15,55.11,97826
27-Apr-10,55.38,55.88,53.54,54.38,198070
26-Apr-10,56.44,56.66,55.64,55.95,62184
23-Apr-10,56.43,56.43,55.61,56.26,106927
22-Apr-10,56.28,56.30,55.21,56.30,83851
21-Apr-10,55.49,56.64,54.91,56.29,91425
20-Apr-10,55.25,55.99,54.79,55.70,96964
19-Apr-10,54.28,55.10,53.87,54.84,230171
16-Apr-10,54.18,54.39,53.55,54.31,122344
15-Apr-10,53.15,55.42,52.92,54.15,169991
14-Apr-10,52.13,53.41,51.96,53.37,123635
13-Apr-10,51.75,52.42,51.55,52.02,162625
12-Apr-10,51.55,52.24,51.27,52.04,116918
9-Apr-10,51.28,52.42,50.78,51.60,100314
8-Apr-10,50.51,51.23,50.03,51.14,124103
7-Apr-10,50.61,51.03,50.25,50.58,107072
6-Apr-10,50.70,51.26,50.05,50.77,123256
5-Apr-10,48.76,51.19,48.76,51.19,114494
2-Apr-10,48.55,48.55,48.55,48.55,0
1-Apr-10,49.32,50.13,48.40,48.55,59228
31-Mar-10,48.98,49.64,48.56,49.25,80507
30-Mar-10,49.76,51.13,48.87,49.07,70521
29-Mar-10,49.81,50.72,48.81,49.76,66133
26-Mar-10,50.00,50.79,49.50,49.80,112771
25-Mar-10,51.85,51.85,49.83,49.87,172307
24-Mar-10,52.12,52.12,51.22,51.56,71363
23-Mar-10,51.14,52.87,50.76,52.68,73446
22-Mar-10,50.63,51.53,50.62,51.27,91656
19-Mar-10,53.42,53.63,50.27,51.00,228224
18-Mar-10,53.24,53.48,52.22,53.05,109887
17-Mar-10,51.03,53.55,51.03,53.12,158398
16-Mar-10,50.98,51.29,50.50,51.00,94817
15-Mar-10,51.15,51.15,50.56,50.90,53996
12-Mar-10,51.75,52.00,50.84,51.10,89684
11-Mar-10,50.37,51.61,50.12,51.47,87754
10-Mar-10,49.85,52.49,49.81,50.92,167503
9-Mar-10,49.06,50.00,49.06,49.80,105212
8-Mar-10,49.32,49.96,48.91,49.09,85409
5-Mar-10,49.12,49.45,48.89,49.20,114178
4-Mar-10,48.20,49.21,48.02,49.00,45624
3-Mar-10,49.40,49.45,47.85,48.20,83617
2-Mar-10,49.92,49.92,48.77,49.11,67754
1-Mar-10,48.20,49.44,46.99,48.70,104633
26-Feb-10,48.41,49.26,46.82,48.26,194996
25-Feb-10,47.28,48.45,46.66,48.32,141373
24-Feb-10,47.01,47.90,46.73,47.55,144350
23-Feb-10,47.34,48.82,46.80,46.82,175739
22-Feb-10,47.95,49.13,46.25,47.58,219542
19-Feb-10,45.00,50.00,44.78,48.47,736075
18-Feb-10,55.22,55.93,42.71,44.23,1330464
17-Feb-10,52.99,53.92,51.47,53.31,110421
16-Feb-10,51.60,52.82,50.34,52.57,59486
15-Feb-10,51.32,51.32,51.32,51.32,0
12-Feb-10,49.99,51.32,49.32,51.32,83892
11-Feb-10,51.84,52.63,49.77,50.15,94119
10-Feb-10,52.51,52.89,50.46,52.20,121025
9-Feb-10,53.72,54.63,51.62,52.63,107774
8-Feb-10,50.75,54.38,49.94,53.55,124836
5-Feb-10,50.58,51.45,49.48,50.79,64096
4-Feb-10,50.99,53.00,50.07,50.14,131409
3-Feb-10,52.18,53.21,50.65,51.26,162393
2-Feb-10,47.33,52.85,47.07,52.61,220553
1-Feb-10,49.04,49.18,46.07,47.43,77133
29-Jan-10,47.85,50.14,46.31,48.93,106755
28-Jan-10,49.36,49.80,47.38,47.87,74371
27-Jan-10,47.54,49.60,46.95,49.09,82972
26-Jan-10,46.54,48.04,45.13,47.71,129377
25-Jan-10,48.19,48.86,45.95,46.89,175814
22-Jan-10,49.75,50.04,47.55,48.10,134095
21-Jan-10,52.46,53.50,49.60,49.90,139463
20-Jan-10,54.02,54.02,51.55,52.50,119891
19-Jan-10,54.28,56.09,53.91,54.50,103369
18-Jan-10,55.22,55.22,55.22,55.22,0
15-Jan-10,55.37,55.74,53.20,55.22,93678
14-Jan-10,55.00,55.80,54.51,55.00,43076
13-Jan-10,55.14,55.94,53.76,55.28,46485
12-Jan-10,53.82,55.50,53.15,55.14,101920
11-Jan-10,56.58,56.58,54.90,54.96,58848
8-Jan-10,57.76,57.76,55.34,56.47,88813
7-Jan-10,55.85,58.19,54.60,58.08,95409
6-Jan-10,55.92,56.82,54.78,55.78,99141
5-Jan-10,54.49,56.35,52.74,55.49,250772
4-Jan-10,55.85,56.88,54.03,54.32,109843
1-Jan-10,54.97,54.97,54.97,54.97,0
31-Dec-09,56.09,57.69,54.85,54.97,62513
30-Dec-09,56.90,56.90,55.02,56.30,57736
29-Dec-09,58.03,58.11,56.30,56.50,69482
28-Dec-09,59.27,59.30,56.59,57.43,99461
25-Dec-09,59.20,59.20,59.20,59.20,0
24-Dec-09,58.65,59.72,58.56,59.20,33919
23-Dec-09,58.00,59.03,57.55,58.65,41764
22-Dec-09,57.12,58.68,56.51,57.93,84961
21-Dec-09,59.26,59.44,56.72,57.27,160670
18-Dec-09,57.75,59.90,55.55,59.31,330584
17-Dec-09,54.60,55.89,54.12,55.76,77650
16-Dec-09,55.00,57.09,54.35,55.29,91168
15-Dec-09,55.46,56.08,53.20,54.33,104181
14-Dec-09,53.65,55.99,53.23,55.54,90037
11-Dec-09,55.43,55.43,52.23,53.16,64390
10-Dec-09,56.69,56.99,53.07,53.26,169366
9-Dec-09,56.10,56.35,54.07,56.00,139677
8-Dec-09,50.28,57.31,50.09,54.69,373564
7-Dec-09,50.37,50.90,49.53,50.44,91634
4-Dec-09,48.21,50.24,48.01,49.42,123757
3-Dec-09,48.37,48.86,47.53,47.64,85447
2-Dec-09,49.00,49.28,48.16,48.36,64376
1-Dec-09,49.73,49.73,47.90,48.45,79608
30-Nov-09,47.11,49.17,47.00,49.13,83308
27-Nov-09,47.65,48.16,47.11,47.11,59155
26-Nov-09,48.83,48.83,48.83,48.83,0
25-Nov-09,49.00,49.41,48.48,48.83,60374
24-Nov-09,49.35,49.47,48.89,49.15,46142
23-Nov-09,49.56,49.71,48.60,49.47,64451
20-Nov-09,48.11,48.91,47.94,48.73,48522
19-Nov-09,49.01,50.25,47.28,48.40,119929
18-Nov-09,48.77,50.24,48.32,49.62,45643
17-Nov-09,49.83,51.00,48.44,48.61,86640
16-Nov-09,48.40,50.20,48.39,49.89,123638
13-Nov-09,47.71,48.47,47.31,48.18,52520
12-Nov-09,49.38,49.95,47.12,47.23,108794
11-Nov-09,50.65,51.40,48.80,49.48,92460
10-Nov-09,48.83,50.66,48.75,49.93,111181
9-Nov-09,48.87,50.82,48.56,48.64,147085
6-Nov-09,48.02,49.49,47.28,48.68,75737
5-Nov-09,48.00,49.22,47.49,48.88,117755
