Date,Open,High,Low,Close,Volume
25-Jun-10,5.93,6.27,5.76,6.14,3823070
24-Jun-10,6.09,6.18,5.79,5.85,758715
23-Jun-10,6.26,6.30,5.93,6.21,752475
22-Jun-10,6.51,6.60,6.25,6.25,616699
21-Jun-10,6.79,7.11,6.51,6.55,1061858
18-Jun-10,7.10,7.16,6.83,6.85,717174
17-Jun-10,7.09,7.20,6.93,7.10,1064010
16-Jun-10,6.61,7.07,6.52,6.97,1446012
15-Jun-10,6.45,6.78,6.45,6.75,1412279
14-Jun-10,6.20,6.46,6.11,6.42,1155443
11-Jun-10,5.73,5.98,5.63,5.98,903574
10-Jun-10,5.60,5.85,5.49,5.85,807689
9-Jun-10,5.51,5.75,5.36,5.42,1145768
8-Jun-10,5.66,5.80,5.30,5.41,813292
7-Jun-10,5.54,5.83,5.43,5.49,890353
4-Jun-10,5.29,5.55,5.29,5.34,759348
3-Jun-10,5.46,5.62,5.25,5.52,716669
2-Jun-10,5.29,5.45,5.05,5.45,694228
1-Jun-10,5.45,5.53,4.97,5.05,1080976
31-May-10,5.70,5.70,5.70,5.70,0
28-May-10,5.97,6.11,5.63,5.70,966715
27-May-10,5.94,5.97,5.70,5.97,748001
26-May-10,5.75,5.89,5.55,5.61,811916
25-May-10,5.39,5.62,5.07,5.53,1009401
24-May-10,5.66,5.90,5.55,5.59,799964
21-May-10,5.00,5.64,4.84,5.39,1304499
20-May-10,5.47,5.54,5.10,5.16,1106045
19-May-10,5.65,5.80,5.40,5.72,1040697
18-May-10,5.93,6.04,5.68,5.74,557043
17-May-10,6.07,6.18,5.50,5.74,834425
14-May-10,5.96,6.12,5.74,5.99,827540
13-May-10,6.30,6.45,6.04,6.14,803042
12-May-10,6.11,6.35,6.11,6.30,967056
11-May-10,5.89,6.25,5.69,6.13,1262733
10-May-10,5.47,6.05,5.22,5.92,2008447
7-May-10,5.12,5.31,4.61,4.95,1457826
6-May-10,5.35,5.76,4.46,5.12,1574859
5-May-10,5.58,5.80,5.38,5.50,1112084
4-May-10,5.82,5.96,5.71,5.81,902764
3-May-10,6.02,6.23,5.81,6.04,880644
30-Apr-10,6.34,6.43,5.91,6.07,1511830
29-Apr-10,6.77,6.92,6.35,6.44,1232656
28-Apr-10,6.74,7.00,6.52,6.71,866914
27-Apr-10,7.19,7.45,6.46,6.55,2598707
26-Apr-10,6.60,7.24,6.60,7.19,2501938
23-Apr-10,6.18,6.55,6.17,6.55,1459171
22-Apr-10,5.94,6.25,5.70,6.22,1263193
21-Apr-10,6.23,6.26,5.92,5.98,1493276
20-Apr-10,5.96,6.29,5.96,6.29,2222366
19-Apr-10,5.70,6.23,5.61,5.90,2359371
16-Apr-10,6.39,6.39,5.60,5.87,4468568
15-Apr-10,6.97,6.97,6.46,6.51,2435068
14-Apr-10,7.15,7.38,6.73,6.84,3152117
13-Apr-10,8.40,8.80,6.55,7.01,10300871
12-Apr-10,7.74,8.39,7.53,8.29,2824761
9-Apr-10,7.19,7.87,7.16,7.53,2651818
8-Apr-10,6.89,7.08,6.70,7.05,1097536
7-Apr-10,6.80,7.17,6.73,6.90,2933893
6-Apr-10,6.16,6.86,6.09,6.75,2630242
5-Apr-10,5.64,6.08,5.54,6.04,1748472
2-Apr-10,5.46,5.46,5.46,5.46,0
1-Apr-10,5.48,5.64,5.33,5.46,756719
31-Mar-10,5.26,5.47,5.05,5.36,1145584
30-Mar-10,5.52,5.75,4.89,5.30,2635286
29-Mar-10,5.60,5.90,5.45,5.57,2478881
26-Mar-10,5.36,5.50,5.32,5.50,684189
25-Mar-10,5.22,5.53,5.20,5.38,1427744
24-Mar-10,5.02,5.20,4.97,5.17,824612
23-Mar-10,5.02,5.20,4.90,4.97,883641
22-Mar-10,4.66,4.98,4.61,4.94,748474
19-Mar-10,5.07,5.14,4.70,4.70,1389066
18-Mar-10,4.96,5.28,4.81,5.08,1644404
17-Mar-10,4.50,5.09,4.48,4.92,2296728
16-Mar-10,4.00,4.51,4.00,4.50,1468393
15-Mar-10,3.86,3.98,3.80,3.97,373535
12-Mar-10,3.84,3.98,3.83,3.92,436963
11-Mar-10,3.76,3.80,3.63,3.80,414774
10-Mar-10,4.00,4.00,3.55,3.76,1177330
9-Mar-10,4.46,4.46,3.82,3.94,2210198
8-Mar-10,3.93,4.45,3.87,4.06,1755162
5-Mar-10,3.67,3.90,3.64,3.90,510878
4-Mar-10,3.48,3.93,3.48,3.63,1034303
3-Mar-10,3.01,3.60,3.01,3.48,1556732
2-Mar-10,2.97,2.99,2.88,2.99,268229
1-Mar-10,2.93,2.96,2.86,2.95,284391
26-Feb-10,2.93,2.96,2.87,2.96,164652
25-Feb-10,2.85,2.90,2.76,2.90,184634
24-Feb-10,3.01,3.01,2.89,2.90,177710
23-Feb-10,2.99,3.05,2.87,3.02,424311
22-Feb-10,3.10,3.11,3.01,3.05,137205
19-Feb-10,3.03,3.12,2.92,3.07,377966
18-Feb-10,3.16,3.16,2.95,3.05,272979
17-Feb-10,3.18,3.18,3.06,3.13,223350
16-Feb-10,3.06,3.25,3.06,3.15,736894
15-Feb-10,3.05,3.05,3.05,3.05,0
12-Feb-10,2.83,3.05,2.82,3.05,407855
11-Feb-10,2.81,2.92,2.70,2.88,318158
10-Feb-10,2.90,2.92,2.80,2.86,89930
9-Feb-10,2.88,2.92,2.73,2.89,334083
8-Feb-10,2.95,3.04,2.82,2.84,1022475
5-Feb-10,2.73,2.88,2.68,2.85,627344
4-Feb-10,2.60,2.80,2.55,2.74,675874
3-Feb-10,2.91,2.91,2.70,2.70,1045304
2-Feb-10,2.76,2.95,2.42,2.94,2035022
