Date,Open,High,Low,Close,Volume
25-Jun-10,41.50,41.50,40.52,40.81,1150
24-Jun-10,41.16,41.16,41.16,41.16,0
23-Jun-10,42.00,42.03,41.01,41.16,4000
22-Jun-10,41.50,41.84,41.40,41.65,2446
21-Jun-10,41.52,41.61,41.00,41.00,1000
18-Jun-10,41.03,41.11,41.03,41.11,200
17-Jun-10,41.50,41.51,41.50,41.50,1200
16-Jun-10,42.00,42.00,41.01,41.41,4350
15-Jun-10,41.61,42.71,41.61,42.09,1200
14-Jun-10,41.00,42.45,41.00,41.38,2904
11-Jun-10,41.54,42.00,40.15,40.70,4100
10-Jun-10,42.00,42.50,42.00,42.28,2230
9-Jun-10,42.00,42.00,41.54,41.54,800
8-Jun-10,41.80,41.94,41.36,41.85,2094
7-Jun-10,42.00,42.68,41.86,42.68,1097
4-Jun-10,42.98,44.24,42.11,42.95,1300
3-Jun-10,43.11,43.85,41.81,42.51,3200
2-Jun-10,44.00,44.00,43.06,43.30,2286
1-Jun-10,44.30,45.25,43.50,43.52,4008
31-May-10,44.45,44.45,44.45,44.45,0
28-May-10,43.37,48.49,43.25,44.45,7100
27-May-10,43.99,44.25,43.31,43.95,800
26-May-10,42.70,44.14,42.70,43.69,2123
25-May-10,42.73,42.73,42.05,42.68,400
24-May-10,44.20,44.48,43.16,43.41,4787
21-May-10,42.60,45.00,42.60,44.31,955
20-May-10,44.00,44.00,41.93,42.36,3610
19-May-10,47.53,47.53,44.88,44.88,2607
18-May-10,49.11,49.15,48.41,48.41,4123
17-May-10,50.54,51.50,47.22,49.00,15063
14-May-10,45.00,45.05,44.31,44.99,2073
13-May-10,45.97,46.84,44.58,45.80,7170
12-May-10,46.00,46.75,45.10,45.10,3096
11-May-10,45.55,46.67,45.55,45.68,1959
10-May-10,46.00,46.69,45.58,45.71,8225
7-May-10,43.50,44.03,42.00,43.00,7795
6-May-10,48.73,48.73,41.05,45.04,8290
5-May-10,48.51,49.98,47.55,47.55,3761
4-May-10,49.50,49.50,48.60,48.60,970
3-May-10,50.05,50.51,50.00,50.15,2812
30-Apr-10,50.38,51.39,50.00,50.00,3300
29-Apr-10,49.00,50.75,49.00,50.25,5895
28-Apr-10,50.04,50.09,49.51,49.51,900
27-Apr-10,50.04,50.04,50.03,50.04,491
26-Apr-10,49.11,51.00,49.11,50.50,7845
23-Apr-10,48.75,49.88,48.31,48.96,5348
22-Apr-10,48.00,48.50,48.00,48.50,908
21-Apr-10,48.00,50.47,47.77,49.00,1050
20-Apr-10,48.72,49.33,48.55,48.55,2645
19-Apr-10,48.52,50.50,48.00,48.55,6087
16-Apr-10,50.08,50.13,49.00,50.00,3272
15-Apr-10,50.64,51.99,50.64,51.00,555
14-Apr-10,50.00,51.50,49.97,51.30,7516
13-Apr-10,51.44,51.50,48.50,49.64,6161
12-Apr-10,53.18,53.99,51.37,51.50,3150
9-Apr-10,53.03,53.03,52.66,52.66,1550
8-Apr-10,52.18,53.93,51.04,53.93,3538
7-Apr-10,55.00,55.56,53.30,53.40,6472
6-Apr-10,54.85,57.00,54.85,55.27,7535
5-Apr-10,53.04,58.77,52.98,55.69,13657
2-Apr-10,52.89,52.89,52.89,52.89,0
1-Apr-10,51.00,53.00,49.05,52.89,21747
31-Mar-10,40.52,40.95,40.50,40.74,2639
30-Mar-10,40.50,41.00,40.50,41.00,1335
29-Mar-10,41.12,41.49,40.80,41.24,1313
26-Mar-10,40.53,40.97,40.50,40.85,2855
25-Mar-10,41.46,41.46,40.39,40.40,1900
24-Mar-10,40.00,40.00,40.00,40.00,200
23-Mar-10,40.60,40.60,40.00,40.09,3117
22-Mar-10,42.52,42.52,41.00,41.05,3320
19-Mar-10,42.50,42.75,42.01,42.75,2310
18-Mar-10,43.15,43.20,42.50,42.50,2625
17-Mar-10,42.11,43.00,42.11,43.00,1475
16-Mar-10,42.03,42.71,42.03,42.65,1100
15-Mar-10,44.42,44.42,41.97,42.08,1538
12-Mar-10,42.00,42.00,41.50,41.66,2600
11-Mar-10,41.60,41.75,41.35,41.75,5300
10-Mar-10,41.96,41.96,41.50,41.65,7080
9-Mar-10,41.53,42.00,41.10,41.56,6305
8-Mar-10,42.30,42.65,42.00,42.00,1860
5-Mar-10,43.05,43.05,42.34,42.49,818
4-Mar-10,44.22,44.25,42.12,43.00,2093
3-Mar-10,44.00,44.37,43.65,43.65,1000
2-Mar-10,44.90,44.90,43.50,43.75,2600
1-Mar-10,43.35,44.50,43.35,44.09,4930
26-Feb-10,42.75,43.25,42.70,43.25,2150
25-Feb-10,42.14,42.30,42.14,42.30,200
24-Feb-10,42.50,42.50,41.26,42.14,4455
23-Feb-10,44.30,44.30,41.00,42.07,4815
22-Feb-10,45.50,45.50,44.00,44.75,2230
19-Feb-10,46.70,46.70,45.32,46.00,2350
18-Feb-10,45.25,47.20,45.00,47.20,3800
17-Feb-10,44.40,44.90,43.90,44.90,1250
16-Feb-10,45.26,45.29,43.36,44.40,2850
15-Feb-10,44.00,44.00,44.00,44.00,0
12-Feb-10,43.84,44.00,43.57,44.00,700
