Date,Open,High,Low,Close,Volume
25-Jun-10,5.45,5.45,4.99,5.15,82020
24-Jun-10,5.62,5.62,5.49,5.54,8298
23-Jun-10,5.57,5.67,5.38,5.57,10780
22-Jun-10,5.95,5.95,5.56,5.67,11903
21-Jun-10,6.15,6.15,5.80,5.85,14289
18-Jun-10,5.94,6.00,5.94,5.99,900
17-Jun-10,5.92,5.99,5.92,5.98,3320
16-Jun-10,6.07,6.10,5.92,6.01,16815
15-Jun-10,6.08,6.12,5.94,6.06,5791
14-Jun-10,6.00,6.19,5.80,5.94,15978
11-Jun-10,5.64,5.99,5.58,5.96,37044
10-Jun-10,5.43,5.62,5.43,5.62,8497
9-Jun-10,5.44,5.57,5.40,5.40,6350
8-Jun-10,5.37,5.42,5.36,5.40,2675
7-Jun-10,5.42,5.45,5.31,5.40,19297
4-Jun-10,5.60,5.69,5.47,5.48,18609
3-Jun-10,5.74,5.79,5.63,5.68,27085
2-Jun-10,5.51,5.73,5.51,5.68,15757
1-Jun-10,5.55,5.58,5.43,5.52,59181
31-May-10,5.52,5.52,5.52,5.52,0
28-May-10,5.50,5.55,5.50,5.52,8575
27-May-10,5.50,5.60,5.46,5.59,24427
26-May-10,5.55,5.64,5.41,5.42,19157
25-May-10,5.52,5.57,5.33,5.40,18523
24-May-10,5.69,5.89,5.51,5.58,20315
21-May-10,5.41,5.95,5.41,5.75,44416
20-May-10,6.02,6.07,5.51,5.57,107912
19-May-10,6.06,6.23,6.01,6.07,23861
18-May-10,6.25,6.32,6.01,6.25,37908
17-May-10,6.28,6.28,6.01,6.23,50735
14-May-10,6.29,6.33,6.06,6.30,62635
13-May-10,6.30,6.42,6.10,6.42,91149
12-May-10,7.43,7.50,5.90,6.23,617137
11-May-10,5.99,6.43,5.86,6.34,69181
10-May-10,6.01,6.19,5.81,5.94,27680
7-May-10,6.24,6.24,5.69,5.71,98769
6-May-10,6.22,6.27,5.75,6.24,59824
5-May-10,6.08,6.43,6.08,6.23,29123
4-May-10,7.21,7.21,6.06,6.45,132983
3-May-10,7.07,7.22,7.05,7.22,26340
30-Apr-10,7.15,7.16,7.02,7.06,16840
29-Apr-10,7.24,7.35,7.00,7.05,54028
28-Apr-10,7.08,7.24,7.00,7.24,28931
27-Apr-10,7.27,7.39,6.99,7.08,49051
26-Apr-10,7.24,7.24,7.08,7.19,40124
23-Apr-10,7.19,7.20,7.03,7.11,23332
22-Apr-10,7.11,7.20,7.11,7.19,7034
