Date,Open,High,Low,Close,Volume
25-Jun-10,10.93,11.55,10.70,11.44,407303
24-Jun-10,11.26,11.33,10.88,10.89,227626
23-Jun-10,11.71,11.71,11.22,11.44,206301
22-Jun-10,12.05,12.42,11.75,11.77,270531
21-Jun-10,12.41,12.41,11.84,11.96,197573
18-Jun-10,12.27,12.33,11.92,12.14,281533
17-Jun-10,12.67,12.69,12.06,12.17,129466
16-Jun-10,12.69,13.00,12.30,12.55,173035
15-Jun-10,12.04,12.89,11.98,12.81,404648
14-Jun-10,11.64,11.97,11.51,11.86,400451
11-Jun-10,10.45,11.48,10.45,11.45,279830
10-Jun-10,10.38,10.78,10.30,10.57,383593
9-Jun-10,10.67,10.78,9.93,10.10,360413
8-Jun-10,10.49,11.00,10.30,10.58,251570
7-Jun-10,11.29,11.51,10.35,10.37,380430
4-Jun-10,11.72,11.97,11.07,11.12,249202
3-Jun-10,11.86,12.00,11.60,11.92,223805
2-Jun-10,11.50,11.91,11.30,11.74,277389
1-Jun-10,12.01,12.28,11.21,11.23,368181
31-May-10,12.12,12.12,12.12,12.12,0
28-May-10,12.50,12.54,11.94,12.12,178681
27-May-10,12.21,12.60,12.00,12.59,119893
26-May-10,11.81,12.33,11.80,11.85,349440
25-May-10,11.68,11.81,11.28,11.70,446650
24-May-10,12.15,12.21,11.77,12.10,321952
21-May-10,11.51,12.40,11.28,12.17,345227
20-May-10,12.39,12.80,11.73,11.86,437285
19-May-10,13.10,13.44,12.68,12.86,255450
18-May-10,13.79,13.91,13.15,13.25,190926
17-May-10,14.19,14.40,13.30,13.55,334684
14-May-10,14.31,14.31,13.81,14.09,262528
13-May-10,14.30,14.81,14.30,14.50,226277
12-May-10,13.77,14.48,13.73,14.30,243888
11-May-10,13.42,13.97,13.14,13.62,173796
10-May-10,13.55,14.07,13.17,13.59,304489
7-May-10,12.94,13.40,12.61,12.84,494000
6-May-10,13.10,13.37,12.40,12.98,626736
5-May-10,13.74,13.74,13.10,13.18,484615
4-May-10,14.49,14.52,13.68,13.90,409296
3-May-10,14.39,14.96,14.31,14.83,293263
30-Apr-10,15.23,15.23,14.10,14.12,529947
29-Apr-10,14.26,15.33,14.26,15.17,528269
28-Apr-10,14.53,14.83,13.85,14.11,874577
27-Apr-10,14.81,15.00,14.16,14.38,513123
26-Apr-10,15.15,15.15,14.77,14.89,298097
23-Apr-10,15.00,15.11,14.75,15.10,380746
22-Apr-10,14.73,15.04,14.40,14.98,385638
21-Apr-10,14.74,15.10,14.34,15.05,359579
20-Apr-10,14.54,14.84,14.45,14.79,199566
19-Apr-10,14.42,14.44,13.66,14.39,391943
16-Apr-10,14.92,15.31,14.31,14.34,431273
15-Apr-10,14.92,15.17,14.77,14.95,294054
14-Apr-10,14.83,15.01,14.67,14.98,300690
13-Apr-10,14.78,14.87,14.34,14.75,642215
12-Apr-10,14.46,14.82,14.46,14.81,331767
9-Apr-10,14.20,14.49,14.00,14.41,387244
8-Apr-10,13.88,14.25,13.75,14.17,204574
7-Apr-10,13.98,14.24,13.85,14.01,253410
6-Apr-10,13.70,14.07,13.70,14.00,339391
5-Apr-10,13.56,13.97,13.39,13.85,721633
2-Apr-10,13.46,13.46,13.46,13.46,0
1-Apr-10,13.22,13.54,13.13,13.46,364896
31-Mar-10,13.38,13.75,13.07,13.08,395725
30-Mar-10,13.46,13.75,13.30,13.41,208611
29-Mar-10,13.26,13.49,13.12,13.39,195121
26-Mar-10,13.42,13.51,13.15,13.23,230739
25-Mar-10,13.51,13.59,13.22,13.30,313995
24-Mar-10,13.59,13.73,13.30,13.41,185115
23-Mar-10,13.30,13.76,13.03,13.66,190723
22-Mar-10,12.59,13.46,12.24,13.33,270859
