Date,Open,High,Low,Close,Volume
30-Jun-10,6.50,6.84,6.50,6.75,21784
29-Jun-10,7.24,7.24,6.20,6.50,35132
28-Jun-10,7.19,7.24,7.05,7.19,10387
25-Jun-10,7.24,7.25,7.02,7.24,5071
24-Jun-10,7.04,7.28,7.04,7.17,12682
23-Jun-10,6.97,7.31,6.97,7.16,10298
22-Jun-10,7.10,7.10,6.94,6.99,16896
21-Jun-10,7.00,7.60,6.87,7.02,111842
18-Jun-10,6.58,6.85,6.58,6.72,20123
17-Jun-10,6.54,6.60,6.40,6.58,7139
16-Jun-10,6.52,6.52,6.30,6.50,9608
15-Jun-10,6.50,6.60,6.25,6.44,50196
14-Jun-10,6.00,7.10,6.00,6.50,155274
11-Jun-10,5.25,5.50,5.25,5.42,2100
10-Jun-10,5.36,5.50,5.30,5.31,8223
9-Jun-10,5.33,5.48,5.33,5.36,20457
8-Jun-10,5.50,5.50,5.16,5.32,1849
7-Jun-10,5.25,5.88,5.11,5.26,5700
4-Jun-10,5.35,5.45,5.09,5.13,7206
3-Jun-10,5.39,5.50,5.34,5.36,3427
2-Jun-10,5.32,5.39,5.26,5.33,1800
1-Jun-10,5.31,5.50,5.25,5.40,5719
31-May-10,5.42,5.42,5.42,5.42,0
28-May-10,5.35,5.42,5.34,5.42,990
27-May-10,5.26,5.34,5.25,5.33,3473
26-May-10,5.15,5.36,5.15,5.16,15949
25-May-10,5.41,5.41,4.72,5.15,12800
24-May-10,5.26,5.43,5.26,5.38,4041
21-May-10,5.37,5.57,5.08,5.24,29953
20-May-10,5.71,5.71,5.49,5.50,18130
19-May-10,5.59,5.97,5.50,5.62,4260
18-May-10,5.84,5.89,5.50,5.69,11809
17-May-10,5.99,6.05,5.60,5.68,36998
14-May-10,5.78,5.85,5.50,5.85,22950
13-May-10,5.85,5.85,5.62,5.70,10964
12-May-10,5.84,5.84,5.62,5.62,8500
11-May-10,5.85,5.85,5.45,5.70,20047
10-May-10,6.19,6.19,5.70,5.85,27618
7-May-10,5.81,6.12,5.45,5.68,15166
6-May-10,5.90,6.10,5.77,5.90,49436
5-May-10,5.48,5.89,5.45,5.89,49771
4-May-10,5.60,5.90,5.40,5.66,54447
3-May-10,5.71,6.25,5.43,5.60,144065
30-Apr-10,4.95,6.32,4.85,5.65,440924
29-Apr-10,3.40,3.62,3.40,3.52,4141
28-Apr-10,3.43,3.55,3.42,3.55,2869
27-Apr-10,3.35,3.56,2.77,3.48,24398
26-Apr-10,3.69,3.85,3.69,3.71,14650
23-Apr-10,3.60,3.65,3.59,3.59,945
22-Apr-10,3.52,3.56,3.52,3.55,1600
21-Apr-10,3.62,3.67,3.62,3.65,4500
20-Apr-10,3.61,3.61,3.51,3.56,2300
19-Apr-10,3.60,3.65,3.47,3.65,3472
16-Apr-10,3.65,3.65,3.60,3.60,400
15-Apr-10,3.59,3.77,3.59,3.63,16400
14-Apr-10,3.56,3.70,3.55,3.55,2800
13-Apr-10,3.44,3.50,3.44,3.50,1325
12-Apr-10,3.64,3.69,3.49,3.68,6240
9-Apr-10,3.78,3.78,3.60,3.60,5128
8-Apr-10,3.56,3.77,3.50,3.77,1991
7-Apr-10,3.60,3.65,3.43,3.50,5050
6-Apr-10,3.49,3.64,3.49,3.64,3838
5-Apr-10,3.52,3.60,3.50,3.57,2425
2-Apr-10,3.64,3.64,3.64,3.64,0
1-Apr-10,3.60,3.70,3.60,3.64,7094
31-Mar-10,3.52,3.61,3.52,3.60,7888
30-Mar-10,3.52,3.52,3.52,3.52,600
29-Mar-10,3.74,3.74,3.52,3.70,10760
26-Mar-10,3.89,3.89,3.61,3.74,13299
25-Mar-10,3.34,3.89,3.34,3.58,31174
24-Mar-10,3.11,3.30,3.11,3.30,10086
23-Mar-10,3.17,3.40,3.05,3.18,62862
22-Mar-10,2.90,4.70,2.90,3.47,143995
19-Mar-10,2.65,3.11,2.58,2.70,38580
18-Mar-10,2.54,2.70,2.54,2.65,16040
17-Mar-10,2.45,2.55,2.44,2.55,1650
16-Mar-10,2.40,2.40,2.40,2.40,0
15-Mar-10,2.45,2.45,2.38,2.40,3030
12-Mar-10,2.46,2.46,2.43,2.45,1700
11-Mar-10,2.45,2.58,2.45,2.58,950
10-Mar-10,2.46,2.46,2.46,2.46,600
9-Mar-10,2.47,2.50,2.47,2.50,2566
8-Mar-10,2.60,2.60,2.60,2.60,500
5-Mar-10,2.41,2.44,2.40,2.42,2594
4-Mar-10,2.38,2.60,2.38,2.60,2134
3-Mar-10,2.42,2.42,2.27,2.40,2892
2-Mar-10,2.44,2.44,2.42,2.42,2001
1-Mar-10,2.67,2.67,2.26,2.38,14535
26-Feb-10,2.68,2.68,2.55,2.58,2100
25-Feb-10,2.65,2.65,2.54,2.54,11100
24-Feb-10,2.60,2.65,2.60,2.65,3500
23-Feb-10,2.54,2.54,2.54,2.54,0
22-Feb-10,2.58,2.59,2.54,2.54,4900
19-Feb-10,2.56,2.58,2.55,2.55,2200
18-Feb-10,2.60,2.60,2.60,2.60,600
17-Feb-10,2.53,2.60,2.53,2.60,750
16-Feb-10,2.60,2.64,2.60,2.64,1300
15-Feb-10,2.56,2.56,2.56,2.56,0
12-Feb-10,2.62,2.62,2.50,2.56,4100
11-Feb-10,2.51,2.51,2.51,2.51,0
10-Feb-10,2.51,2.51,2.51,2.51,500
9-Feb-10,2.60,2.61,2.50,2.50,7018
8-Feb-10,2.60,2.60,2.52,2.60,4096
5-Feb-10,2.62,2.62,2.56,2.56,500
4-Feb-10,2.58,2.69,2.45,2.62,3900
3-Feb-10,2.63,2.63,2.63,2.63,300
2-Feb-10,2.48,2.65,2.48,2.58,3451
1-Feb-10,2.50,2.50,2.37,2.40,3831
29-Jan-10,2.59,2.59,2.59,2.59,0
28-Jan-10,2.50,2.73,2.50,2.59,1550
27-Jan-10,2.54,2.55,2.49,2.49,2578
26-Jan-10,2.55,2.59,2.55,2.55,2000
25-Jan-10,2.74,2.74,2.69,2.69,400
22-Jan-10,2.51,2.52,2.49,2.49,900
21-Jan-10,2.55,2.55,2.51,2.51,1003
20-Jan-10,2.49,2.50,2.49,2.50,10100
19-Jan-10,2.60,2.64,2.49,2.50,2346
18-Jan-10,2.60,2.60,2.60,2.60,0
15-Jan-10,2.70,2.73,2.50,2.60,9937
14-Jan-10,2.63,2.65,2.60,2.60,4659
13-Jan-10,2.49,2.49,2.49,2.49,2200
12-Jan-10,2.64,2.64,2.49,2.49,2326
11-Jan-10,2.54,2.62,2.54,2.61,2302
8-Jan-10,2.50,2.50,2.50,2.50,0
7-Jan-10,2.46,2.51,2.46,2.50,5524
6-Jan-10,2.45,2.49,2.35,2.48,9174
5-Jan-10,2.40,2.40,2.40,2.40,2200
4-Jan-10,2.32,2.40,2.32,2.40,8018
1-Jan-10,2.28,2.28,2.28,2.28,0
31-Dec-09,2.28,2.29,2.25,2.28,2300
30-Dec-09,2.25,2.25,2.25,2.25,2930
29-Dec-09,2.26,2.26,2.25,2.25,2389
28-Dec-09,2.24,2.30,2.24,2.30,2400
25-Dec-09,2.24,2.24,2.24,2.24,0
24-Dec-09,2.40,2.40,2.24,2.24,9600
23-Dec-09,2.27,2.45,2.25,2.40,5735
22-Dec-09,2.29,2.32,2.24,2.26,7361
21-Dec-09,2.33,2.47,2.33,2.47,7900
18-Dec-09,2.24,2.30,2.24,2.24,3531
17-Dec-09,2.25,2.32,2.24,2.24,2900
16-Dec-09,2.34,2.34,2.34,2.34,0
