Date,Open,High,Low,Close,Volume
30-Jun-10,42.95,43.65,42.41,42.61,781649
29-Jun-10,42.83,43.39,42.77,43.07,930621
28-Jun-10,43.91,44.19,43.59,43.59,535036
25-Jun-10,43.63,44.28,43.25,43.73,1264357
24-Jun-10,43.62,44.23,43.30,43.76,564284
23-Jun-10,43.58,44.13,43.06,43.71,898524
22-Jun-10,44.56,44.98,43.50,43.57,558425
21-Jun-10,45.44,45.51,44.19,44.46,387942
18-Jun-10,44.75,45.02,44.20,44.73,499049
17-Jun-10,44.56,44.80,44.18,44.55,349461
16-Jun-10,44.22,44.77,44.10,44.55,585184
15-Jun-10,44.96,44.96,44.22,44.66,929081
14-Jun-10,45.43,45.57,44.43,44.48,509039
11-Jun-10,44.79,45.42,44.50,45.23,362132
10-Jun-10,44.79,45.04,44.14,45.04,613480
9-Jun-10,44.50,45.02,43.70,43.99,868243
8-Jun-10,43.95,44.28,43.14,44.04,2439036
7-Jun-10,44.99,45.37,43.30,43.81,1641692
4-Jun-10,45.46,45.77,44.77,44.90,1192073
3-Jun-10,46.67,46.76,45.78,46.07,652419
2-Jun-10,46.39,47.16,46.27,46.47,620249
1-Jun-10,46.02,47.00,45.83,46.15,547343
31-May-10,46.70,46.70,46.70,46.70,0
28-May-10,46.77,47.35,45.89,46.70,556312
27-May-10,46.68,47.52,46.41,47.12,818241
26-May-10,44.44,45.98,44.44,45.45,1964491
25-May-10,44.51,44.98,43.53,44.04,2132730
24-May-10,45.61,47.26,45.28,45.94,581133
21-May-10,43.81,46.31,43.48,45.61,1532338
20-May-10,47.09,47.24,44.45,44.71,1704561
19-May-10,49.18,49.93,47.50,47.81,1462419
18-May-10,50.30,50.58,49.25,49.51,975147
17-May-10,49.74,50.38,49.33,50.10,1061606
14-May-10,49.03,50.32,48.99,50.29,1060987
13-May-10,48.60,49.83,48.49,49.42,1160399
12-May-10,48.79,49.30,48.35,48.68,1318750
11-May-10,48.39,49.28,48.05,48.46,1093844
10-May-10,50.10,50.10,48.37,48.99,988912
7-May-10,49.78,50.88,47.98,48.01,2283623
6-May-10,50.34,52.05,46.65,50.04,2104775
5-May-10,50.47,51.61,49.65,50.16,1882172
4-May-10,50.01,51.59,49.60,51.55,1988976
3-May-10,49.06,50.91,49.06,50.70,4598168
30-Apr-10,44.68,44.84,43.85,43.99,2614404
29-Apr-10,43.05,45.10,42.90,44.80,2761781
