Date,Open,High,Low,Close,Volume
30-Jun-10,13.87,14.31,13.37,13.46,4606617
29-Jun-10,14.64,14.72,13.84,14.04,4965839
28-Jun-10,14.83,15.28,14.80,14.95,3119460
25-Jun-10,15.00,15.04,14.64,14.88,3917233
24-Jun-10,15.73,15.77,14.86,14.94,4807763
23-Jun-10,16.32,16.41,15.72,15.88,4456664
22-Jun-10,16.56,16.79,16.33,16.34,4036205
21-Jun-10,16.95,17.22,16.44,16.56,3493478
18-Jun-10,16.44,16.81,16.37,16.65,2716101
17-Jun-10,16.62,16.62,16.05,16.41,3336563
16-Jun-10,16.39,16.59,16.12,16.47,3635587
15-Jun-10,16.05,16.64,15.97,16.61,2762962
14-Jun-10,16.41,16.41,15.74,15.78,4665847
11-Jun-10,15.18,16.07,15.18,16.04,4063693
10-Jun-10,14.92,15.43,14.83,15.42,3111354
9-Jun-10,14.75,15.11,14.42,14.53,6783250
8-Jun-10,14.33,14.81,14.08,14.52,8402551
7-Jun-10,13.94,14.45,13.48,14.29,12248038
4-Jun-10,14.34,14.50,13.66,13.73,6469649
3-Jun-10,14.93,15.09,14.47,14.85,3437908
2-Jun-10,14.71,14.86,14.43,14.80,5804247
1-Jun-10,15.29,15.36,14.52,14.54,5564969
31-May-10,15.54,15.54,15.54,15.54,0
28-May-10,15.87,16.05,15.50,15.54,3760685
27-May-10,15.42,15.88,15.24,15.86,3209356
26-May-10,14.94,15.46,14.78,14.91,5560845
25-May-10,14.03,14.71,13.93,14.70,5499600
24-May-10,14.52,14.96,14.38,14.64,4805105
21-May-10,14.54,15.04,14.38,14.58,8491131
20-May-10,14.80,15.43,14.55,14.88,7146569
19-May-10,15.41,15.52,14.70,15.30,5442919
18-May-10,16.45,16.66,15.41,15.56,4586836
17-May-10,15.80,16.45,15.58,16.19,5060647
14-May-10,16.24,16.34,15.47,15.76,4544494
13-May-10,17.08,17.08,16.33,16.44,4338779
12-May-10,16.65,17.15,16.44,17.07,4803812
11-May-10,15.70,17.27,15.70,16.59,8104650
10-May-10,16.01,16.04,15.51,16.04,10528737
7-May-10,15.50,15.62,14.33,15.05,11684506
6-May-10,16.08,16.39,14.12,15.58,9325241
5-May-10,16.27,16.70,15.92,16.29,4058289
4-May-10,16.91,16.97,16.45,16.58,5208628
3-May-10,17.14,17.40,17.00,17.29,6059291
30-Apr-10,17.54,17.66,16.83,17.02,5448494
29-Apr-10,17.58,17.63,17.29,17.50,5410329
28-Apr-10,17.67,17.86,17.03,17.40,5286421
27-Apr-10,18.46,18.56,17.47,17.56,6344798
26-Apr-10,18.36,18.85,18.21,18.67,6171303
23-Apr-10,18.30,18.41,18.00,18.28,3669896
22-Apr-10,18.29,18.35,17.82,18.28,3599226
21-Apr-10,18.51,18.73,18.29,18.42,5522704
20-Apr-10,18.00,18.53,18.00,18.43,6070000
19-Apr-10,18.11,18.28,17.26,17.81,8391507
16-Apr-10,18.93,19.69,18.00,18.04,17398117
15-Apr-10,17.93,18.54,17.76,18.14,6157961
14-Apr-10,17.97,18.11,17.78,17.98,4813421
13-Apr-10,17.95,18.04,17.66,17.74,3615892
12-Apr-10,17.80,18.15,17.50,18.11,4027799
9-Apr-10,17.77,18.02,17.67,17.79,3403295
8-Apr-10,17.40,17.90,17.12,17.79,4381483
7-Apr-10,17.21,17.83,17.12,17.52,6342993
6-Apr-10,17.15,17.54,17.03,17.34,4181330
5-Apr-10,16.79,17.30,16.72,17.24,2807385
2-Apr-10,16.70,16.70,16.70,16.70,0
1-Apr-10,16.44,16.80,16.42,16.70,2642649
31-Mar-10,16.80,16.89,16.43,16.52,3302582
30-Mar-10,16.73,16.92,16.68,16.86,2796917
29-Mar-10,16.67,17.00,16.52,16.72,2955699
26-Mar-10,16.56,16.88,16.33,16.54,2646211
25-Mar-10,16.62,16.96,16.47,16.50,3348159
24-Mar-10,16.59,16.64,16.29,16.55,3286351
23-Mar-10,16.49,16.80,16.19,16.72,3081473
22-Mar-10,16.01,16.49,15.74,16.42,3888760
19-Mar-10,16.51,16.64,16.05,16.06,8102201
18-Mar-10,16.69,16.84,16.22,16.40,6138514
17-Mar-10,16.48,16.84,16.40,16.78,4189959
16-Mar-10,16.02,16.63,16.02,16.42,4841075
15-Mar-10,15.57,16.12,15.57,16.06,3502396
12-Mar-10,16.39,16.43,15.78,15.90,3495453
11-Mar-10,15.97,16.32,15.88,16.29,2028144
10-Mar-10,16.01,16.36,15.97,16.08,2587168
9-Mar-10,16.12,16.21,15.92,16.06,3029813
8-Mar-10,16.30,16.38,16.15,16.16,2683087
5-Mar-10,16.22,16.39,16.08,16.27,5096960
4-Mar-10,16.14,16.25,15.72,16.07,3257447
3-Mar-10,16.06,16.34,15.95,16.07,3770014
2-Mar-10,15.94,16.18,15.85,15.95,3326872
1-Mar-10,15.22,16.04,15.22,15.93,4301469
26-Feb-10,15.32,15.50,15.01,15.15,6247346
25-Feb-10,14.75,15.35,14.55,15.32,4895973
24-Feb-10,14.90,15.01,14.75,15.00,3165721
23-Feb-10,14.91,15.11,14.69,14.80,3591139
22-Feb-10,15.36,15.43,14.80,14.96,3728692
19-Feb-10,15.19,15.50,15.11,15.34,4179097
18-Feb-10,14.92,15.41,14.82,15.27,4408766
17-Feb-10,14.81,15.07,14.79,14.95,4221298
16-Feb-10,14.31,14.88,14.27,14.80,4469639
15-Feb-10,14.29,14.29,14.29,14.29,0
12-Feb-10,13.98,14.38,13.75,14.29,5459541
11-Feb-10,13.92,14.29,13.74,14.21,4042827
10-Feb-10,14.00,14.30,13.60,13.91,4994145
9-Feb-10,13.72,14.42,13.72,13.97,7683144
8-Feb-10,13.53,13.87,13.14,13.68,7236023
5-Feb-10,13.77,13.80,12.77,13.53,8497386
4-Feb-10,14.13,14.23,13.40,13.66,10892645
3-Feb-10,15.03,15.38,14.56,14.61,6605074
2-Feb-10,15.00,15.33,14.87,15.08,8353040
1-Feb-10,15.29,15.43,14.12,15.02,22628389
29-Jan-10,16.36,16.78,15.91,16.15,10155188
28-Jan-10,16.24,16.36,15.60,16.24,6833437
27-Jan-10,16.20,16.99,15.57,16.14,5801369
26-Jan-10,15.97,16.27,15.74,15.84,5585990
25-Jan-10,15.55,16.13,15.55,16.04,5405409
22-Jan-10,15.64,16.14,15.32,15.42,5876103
21-Jan-10,15.97,16.34,15.58,15.71,5714130
20-Jan-10,16.11,16.24,15.75,15.96,5506140
19-Jan-10,16.09,16.72,16.04,16.31,5236554
18-Jan-10,16.10,16.10,16.10,16.10,0
15-Jan-10,16.22,16.40,15.37,16.10,7346172
14-Jan-10,16.36,16.59,16.17,16.22,4254052
13-Jan-10,16.42,16.72,15.74,16.45,4308500
12-Jan-10,17.00,17.17,16.22,16.40,8433261
11-Jan-10,16.78,17.33,16.66,17.25,6307605
8-Jan-10,16.73,16.94,16.60,16.76,5349980
7-Jan-10,16.30,16.90,16.30,16.88,6048603
6-Jan-10,16.17,16.70,16.11,16.43,5713156
5-Jan-10,15.40,16.39,15.16,16.24,9194699
4-Jan-10,14.97,15.67,14.76,15.35,8490452
1-Jan-10,14.85,14.85,14.85,14.85,0
31-Dec-09,15.00,15.15,14.81,14.85,2159332
30-Dec-09,15.00,15.02,14.80,15.02,3862901
29-Dec-09,15.30,15.54,15.00,15.06,3203386
28-Dec-09,15.70,15.99,15.11,15.23,3721287
25-Dec-09,15.63,15.63,15.63,15.63,0
24-Dec-09,15.43,15.75,15.43,15.63,2313367
23-Dec-09,14.76,15.49,14.75,15.42,10863708
22-Dec-09,13.93,14.41,13.85,14.41,5662531
21-Dec-09,14.14,14.25,13.94,14.03,8645193
18-Dec-09,14.17,14.42,13.82,13.98,5554441
17-Dec-09,13.80,14.38,13.60,14.15,7606952
16-Dec-09,13.95,14.14,13.73,13.90,8718403
15-Dec-09,13.81,14.07,13.76,13.90,6445765
14-Dec-09,13.40,14.15,13.40,13.83,9375663
11-Dec-09,12.81,13.29,12.71,13.16,7916114
10-Dec-09,12.02,13.34,12.02,12.84,14860526
9-Dec-09,11.79,12.22,11.45,12.00,9735039
8-Dec-09,11.05,12.00,11.02,11.80,18027048
7-Dec-09,10.26,11.09,10.26,11.09,8678473
4-Dec-09,10.19,10.35,9.75,10.29,6904364
3-Dec-09,9.94,10.20,9.83,9.85,5316758
2-Dec-09,10.04,10.09,9.63,9.87,6962700
1-Dec-09,10.05,10.18,9.68,10.01,6680755
30-Nov-09,10.26,10.38,9.72,9.89,10924286
27-Nov-09,10.07,10.44,9.80,10.32,1921022
26-Nov-09,10.62,10.62,10.62,10.62,0
