Date,Open,High,Low,Close,Volume
30-Jun-10,11.64,13.86,11.39,12.75,1762198
29-Jun-10,11.20,12.00,10.91,11.64,1335718
28-Jun-10,9.70,11.54,9.70,11.37,2633602
25-Jun-10,9.92,9.92,9.20,9.79,2330184
24-Jun-10,10.00,10.09,9.65,9.90,367645
23-Jun-10,9.87,10.00,9.26,10.00,239412
22-Jun-10,10.28,10.46,9.62,9.92,285987
21-Jun-10,10.89,10.94,10.31,10.31,315535
18-Jun-10,11.05,11.05,10.31,10.63,129722
17-Jun-10,10.93,11.38,10.74,10.87,205548
16-Jun-10,11.10,11.10,10.43,10.87,263455
15-Jun-10,10.82,11.20,10.55,11.10,366953
14-Jun-10,10.51,10.95,10.27,10.57,371284
11-Jun-10,8.78,10.36,8.71,10.26,478822
10-Jun-10,8.74,9.00,8.37,8.40,183997
9-Jun-10,8.81,8.81,8.45,8.48,45485
8-Jun-10,8.77,8.92,8.46,8.61,53717
7-Jun-10,8.76,9.11,8.66,8.77,120134
4-Jun-10,9.10,9.14,8.77,8.80,47302
3-Jun-10,9.16,9.42,9.01,9.08,56674
2-Jun-10,8.75,9.18,8.65,9.05,80336
1-Jun-10,9.37,9.37,8.55,8.62,108880
31-May-10,9.41,9.41,9.41,9.41,0
28-May-10,9.71,9.97,9.21,9.41,146138
27-May-10,9.48,9.87,9.45,9.55,108352
26-May-10,9.04,9.81,9.04,9.30,95866
25-May-10,9.24,9.26,8.66,8.99,130459
24-May-10,9.42,9.71,9.35,9.39,59621
21-May-10,9.14,9.80,9.00,9.55,149800
20-May-10,9.65,9.66,9.25,9.31,163036
19-May-10,9.96,10.25,9.77,10.07,99986
18-May-10,10.08,10.44,10.00,10.10,88068
17-May-10,10.00,10.50,9.42,9.82,231892
14-May-10,9.99,10.17,9.89,9.97,83885
13-May-10,10.00,10.37,9.85,10.27,147028
12-May-10,9.49,9.99,9.37,9.91,174727
11-May-10,8.59,9.78,8.52,9.45,203419
10-May-10,8.77,8.90,8.50,8.84,182443
7-May-10,9.08,9.08,7.81,8.11,304554
6-May-10,9.52,9.97,8.10,8.99,165481
5-May-10,9.73,10.11,9.64,9.68,113331
4-May-10,10.48,10.59,9.90,10.01,104270
3-May-10,10.00,10.66,9.79,10.44,165583
30-Apr-10,9.88,10.00,9.57,9.91,124461
29-Apr-10,8.94,11.00,8.81,10.12,364992
28-Apr-10,9.15,9.15,8.70,8.93,122269
27-Apr-10,9.18,9.26,8.90,9.15,141341
26-Apr-10,9.15,9.47,9.15,9.16,165798
23-Apr-10,9.46,9.59,9.10,9.21,177451
22-Apr-10,8.83,9.54,8.64,9.41,239247
21-Apr-10,7.85,8.97,7.81,8.82,389085
20-Apr-10,7.23,7.74,7.23,7.73,108108
19-Apr-10,7.07,7.31,7.07,7.17,58163
16-Apr-10,7.27,7.44,7.14,7.14,101738
15-Apr-10,7.32,7.42,7.12,7.37,89597
14-Apr-10,7.07,7.35,7.05,7.26,129679
13-Apr-10,6.92,7.15,6.87,7.11,73660
12-Apr-10,6.69,6.92,6.69,6.87,38186
9-Apr-10,6.85,6.85,6.65,6.69,38112
8-Apr-10,6.80,6.97,6.71,6.84,42424
7-Apr-10,6.93,7.09,6.75,6.83,45055
6-Apr-10,6.90,7.38,6.90,7.00,151457
5-Apr-10,6.94,6.94,6.58,6.89,92738
2-Apr-10,6.53,6.53,6.53,6.53,0
1-Apr-10,6.50,6.61,6.49,6.53,32916
31-Mar-10,6.53,6.60,6.46,6.48,40525
30-Mar-10,6.87,6.96,6.50,6.62,55898
29-Mar-10,6.54,6.95,6.45,6.88,99363
26-Mar-10,7.05,7.24,6.21,6.45,198825
25-Mar-10,7.19,7.34,7.15,7.15,38890
24-Mar-10,7.32,7.63,7.15,7.24,120901
23-Mar-10,7.26,7.83,7.05,7.27,214022
22-Mar-10,7.50,7.95,6.80,7.32,351110
19-Mar-10,6.64,7.50,6.51,7.50,442100
18-Mar-10,5.95,6.84,5.87,6.57,303748
17-Mar-10,5.70,5.93,5.66,5.85,100832
16-Mar-10,5.66,5.71,5.60,5.68,50503
15-Mar-10,5.49,5.73,5.47,5.61,89864
12-Mar-10,5.19,5.50,5.19,5.48,123087
11-Mar-10,5.00,5.11,4.92,5.11,46172
10-Mar-10,4.91,4.97,4.90,4.95,29815
9-Mar-10,4.93,5.00,4.93,4.97,18165
8-Mar-10,5.00,5.00,4.95,4.96,32597
5-Mar-10,5.02,5.02,4.92,4.97,48769
4-Mar-10,5.14,5.14,4.72,5.04,47164
3-Mar-10,4.89,5.14,4.89,5.14,113037
2-Mar-10,4.79,4.92,4.71,4.92,28509
1-Mar-10,4.80,4.86,4.73,4.82,22593
26-Feb-10,4.61,4.74,4.58,4.74,35200
25-Feb-10,4.79,4.81,4.58,4.62,47736
24-Feb-10,4.99,4.99,4.83,4.83,25349
23-Feb-10,4.98,4.98,4.89,4.96,25914
22-Feb-10,5.04,5.04,4.93,4.93,50741
19-Feb-10,4.98,5.00,4.97,4.98,26788
18-Feb-10,4.91,4.99,4.81,4.97,20112
17-Feb-10,5.05,5.05,4.96,4.99,27019
16-Feb-10,5.08,5.10,4.90,5.03,59613
15-Feb-10,5.04,5.04,5.04,5.04,0
12-Feb-10,4.89,5.04,4.81,5.04,58320
11-Feb-10,4.96,4.99,4.88,4.95,49627
10-Feb-10,4.92,5.00,4.89,4.92,64157
9-Feb-10,4.93,4.98,4.80,4.84,23393
8-Feb-10,4.93,4.96,4.77,4.85,27257
5-Feb-10,4.80,5.00,4.76,4.84,89737
4-Feb-10,4.79,4.99,4.65,4.77,119388
3-Feb-10,4.49,4.72,4.48,4.72,84256
2-Feb-10,4.62,4.78,4.45,4.45,87318
1-Feb-10,4.54,4.64,4.45,4.56,55290
29-Jan-10,4.58,4.59,4.43,4.45,54347
28-Jan-10,4.69,4.69,4.39,4.47,25193
27-Jan-10,4.64,4.64,4.52,4.62,64123
26-Jan-10,4.54,4.67,4.48,4.67,79217
25-Jan-10,4.33,4.50,4.25,4.47,102665
22-Jan-10,4.01,4.28,3.98,4.22,83640
21-Jan-10,4.03,4.07,3.98,4.03,53600
20-Jan-10,4.07,4.19,3.89,4.05,56130
19-Jan-10,4.23,4.23,4.00,4.13,113996
18-Jan-10,4.28,4.28,4.28,4.28,0
15-Jan-10,4.32,4.38,4.27,4.28,54476
14-Jan-10,4.32,4.32,4.24,4.27,30903
13-Jan-10,4.25,4.33,4.21,4.26,64638
12-Jan-10,4.47,4.47,4.28,4.29,69493
11-Jan-10,4.27,4.40,4.27,4.39,55051
8-Jan-10,4.21,4.32,4.21,4.31,13254
7-Jan-10,4.48,4.48,4.15,4.22,97684
6-Jan-10,4.65,4.70,4.47,4.55,47334
5-Jan-10,4.67,4.78,4.50,4.60,44663
4-Jan-10,4.93,5.00,4.55,4.65,71306
1-Jan-10,4.85,4.85,4.85,4.85,0
31-Dec-09,4.74,4.85,4.55,4.85,39791
30-Dec-09,4.80,4.84,4.73,4.80,62571
29-Dec-09,4.90,4.94,4.71,4.80,44670
28-Dec-09,4.49,4.90,4.43,4.80,67950
25-Dec-09,4.49,4.49,4.49,4.49,0
24-Dec-09,4.58,4.58,4.38,4.49,61045
23-Dec-09,4.20,4.57,4.10,4.50,31578
22-Dec-09,4.37,4.48,4.24,4.42,41630
21-Dec-09,4.28,4.35,4.13,4.33,60289
18-Dec-09,4.00,4.30,3.96,4.30,49210
17-Dec-09,4.02,4.02,3.98,3.98,26480
16-Dec-09,4.03,4.03,3.95,4.01,53938
15-Dec-09,3.94,4.02,3.86,3.97,51334
14-Dec-09,3.68,3.87,3.68,3.87,69363
11-Dec-09,3.85,4.07,3.64,3.68,159608
10-Dec-09,4.27,4.27,4.09,4.11,33617
9-Dec-09,4.47,4.47,4.12,4.16,91495
8-Dec-09,4.39,4.44,4.39,4.43,32342
7-Dec-09,4.20,4.44,4.20,4.39,64876
4-Dec-09,4.00,4.31,4.00,4.20,38536
3-Dec-09,3.92,3.99,3.80,3.96,46412
2-Dec-09,3.71,3.95,3.71,3.89,45223
1-Dec-09,3.70,3.77,3.65,3.75,26622
30-Nov-09,3.78,3.78,3.62,3.70,18710
