Date,Open,High,Low,Close,Volume
25-Jun-10,10.85,10.85,10.57,10.69,10825
24-Jun-10,10.59,10.80,10.49,10.76,68952
23-Jun-10,10.70,10.73,10.28,10.72,49617
22-Jun-10,10.17,10.63,10.17,10.61,24785
21-Jun-10,10.59,10.79,10.21,10.22,35967
18-Jun-10,10.56,10.63,10.49,10.53,26378
17-Jun-10,10.95,10.95,10.49,10.61,37543
16-Jun-10,11.00,11.00,10.77,10.97,43787
15-Jun-10,10.72,11.00,10.64,11.00,29107
14-Jun-10,10.79,11.00,10.73,10.80,39821
11-Jun-10,10.63,10.80,10.58,10.80,21929
10-Jun-10,11.03,11.09,10.64,10.80,23780
9-Jun-10,10.53,10.91,10.53,10.72,22711
8-Jun-10,10.71,10.83,10.40,10.59,31616
7-Jun-10,10.63,10.83,10.55,10.59,24973
4-Jun-10,10.89,11.02,10.66,10.73,28428
3-Jun-10,10.98,11.07,10.90,11.03,33690
2-Jun-10,10.86,11.05,10.80,11.02,51494
1-Jun-10,10.83,11.01,10.78,10.88,23188
31-May-10,11.00,11.00,11.00,11.00,0
28-May-10,10.95,11.06,10.71,11.00,74343
27-May-10,10.70,11.02,10.66,11.02,85485
26-May-10,10.66,10.91,10.64,10.67,24992
25-May-10,10.62,10.82,10.61,10.67,26036
24-May-10,10.80,11.00,10.73,10.95,30304
21-May-10,10.97,10.99,10.80,10.94,46307
20-May-10,11.40,11.62,10.80,11.08,83041
19-May-10,12.15,12.25,11.63,11.73,113744
18-May-10,12.09,12.53,12.02,12.15,44590
17-May-10,12.00,12.34,11.89,12.10,51509
14-May-10,12.48,12.53,11.72,11.90,75114
13-May-10,11.58,12.58,10.75,12.48,153817
12-May-10,12.42,12.54,12.30,12.45,27673
11-May-10,12.57,12.57,12.24,12.35,34021
10-May-10,11.67,12.68,11.50,12.56,126243
7-May-10,11.50,11.63,11.30,11.37,104205
6-May-10,11.95,12.20,11.50,11.66,81946
5-May-10,12.51,12.51,11.98,12.11,34434
4-May-10,12.70,12.70,12.18,12.37,42114
3-May-10,12.93,12.93,12.40,12.72,49950
30-Apr-10,13.01,13.01,12.22,12.71,84011
29-Apr-10,12.57,13.07,12.50,12.98,201016
28-Apr-10,12.83,12.83,12.17,12.60,150661
27-Apr-10,13.52,13.94,12.55,12.65,119396
26-Apr-10,12.89,13.50,12.89,13.23,266558
23-Apr-10,12.75,13.17,12.75,12.97,45868
22-Apr-10,12.69,12.74,12.62,12.71,150654
21-Apr-10,12.46,12.80,12.45,12.69,91330
20-Apr-10,12.26,12.61,12.21,12.51,134912
19-Apr-10,11.71,11.94,11.59,11.94,122198
16-Apr-10,11.80,11.80,11.15,11.55,171665
15-Apr-10,11.94,11.94,11.74,11.79,32814
14-Apr-10,11.79,11.87,11.51,11.73,53537
13-Apr-10,11.80,12.00,11.80,11.99,40386
12-Apr-10,12.02,12.02,11.80,11.85,17829
9-Apr-10,11.79,12.12,11.70,11.92,66555
8-Apr-10,11.68,11.78,11.62,11.78,39105
7-Apr-10,11.87,11.93,11.76,11.79,118580
6-Apr-10,11.52,11.95,11.52,11.83,32460
5-Apr-10,11.38,11.73,11.38,11.58,73508
2-Apr-10,11.48,11.48,11.48,11.48,0
1-Apr-10,10.80,11.50,10.80,11.48,45270
31-Mar-10,10.80,10.86,10.62,10.83,19286
30-Mar-10,10.66,10.87,10.65,10.79,25062
29-Mar-10,10.69,10.72,10.65,10.70,7957
26-Mar-10,10.70,10.73,10.60,10.60,57496
25-Mar-10,10.30,10.80,10.30,10.60,169279
24-Mar-10,10.25,10.34,10.19,10.30,13150
23-Mar-10,10.18,10.34,10.18,10.28,36680
22-Mar-10,10.18,10.29,10.09,10.25,27870
19-Mar-10,10.40,10.42,10.20,10.28,33184
18-Mar-10,10.21,10.38,10.15,10.33,36253
17-Mar-10,10.31,10.57,10.25,10.36,112686
16-Mar-10,9.90,10.25,9.86,10.23,79201
15-Mar-10,9.74,9.91,9.66,9.84,26995
12-Mar-10,9.65,9.90,9.65,9.86,37767
11-Mar-10,9.65,9.85,9.58,9.69,12400
10-Mar-10,9.57,9.80,9.57,9.75,13900
9-Mar-10,9.56,9.75,9.56,9.65,99786
8-Mar-10,9.65,9.70,9.50,9.64,33562
5-Mar-10,9.60,9.75,9.51,9.58,35895
4-Mar-10,9.52,9.62,9.46,9.59,23749
3-Mar-10,9.72,9.72,9.47,9.60,13332
2-Mar-10,9.76,9.80,9.71,9.73,18380
1-Mar-10,9.65,9.87,9.50,9.72,26710
26-Feb-10,9.27,9.45,9.27,9.45,52188
25-Feb-10,9.27,9.31,9.20,9.24,20136
24-Feb-10,9.33,9.40,8.77,9.39,14947
23-Feb-10,9.49,9.49,9.34,9.41,32930
22-Feb-10,9.60,9.61,9.51,9.56,29800
19-Feb-10,9.61,9.62,9.50,9.62,5194
18-Feb-10,9.52,9.74,9.51,9.59,10500
17-Feb-10,9.39,9.70,9.35,9.61,27902
16-Feb-10,9.33,9.40,9.08,9.36,67664
15-Feb-10,9.31,9.31,9.31,9.31,0
12-Feb-10,9.40,9.40,9.27,9.31,15590
11-Feb-10,9.17,9.40,9.17,9.27,12408
10-Feb-10,9.39,9.39,9.09,9.26,193100
9-Feb-10,9.22,9.34,9.06,9.25,22998
8-Feb-10,9.06,9.12,9.05,9.11,5400
5-Feb-10,9.08,9.16,8.94,9.16,41032
4-Feb-10,9.26,9.29,9.05,9.17,31872
3-Feb-10,9.33,9.35,9.23,9.30,11857
2-Feb-10,9.40,9.40,9.15,9.36,15540
1-Feb-10,9.40,9.40,9.20,9.30,26666
29-Jan-10,9.66,9.66,9.21,9.31,54771
28-Jan-10,9.40,9.45,9.20,9.45,35788
27-Jan-10,9.07,9.22,9.07,9.20,10901
26-Jan-10,9.17,9.44,9.01,9.21,127086
25-Jan-10,9.10,9.35,8.99,9.21,271374
22-Jan-10,9.44,9.44,8.97,9.05,25188
21-Jan-10,9.81,9.99,9.30,9.49,19826
20-Jan-10,9.34,9.90,9.29,9.73,22959
19-Jan-10,9.25,9.83,9.02,9.52,49533
18-Jan-10,9.29,9.29,9.29,9.29,0
15-Jan-10,9.41,9.44,9.19,9.29,23343
14-Jan-10,9.18,9.47,9.15,9.30,34847
13-Jan-10,9.30,9.86,9.15,9.21,23848
12-Jan-10,9.60,9.60,9.10,9.40,19122
11-Jan-10,10.10,10.22,9.75,9.75,16851
8-Jan-10,9.96,9.96,9.86,9.90,23749
7-Jan-10,9.67,10.00,9.59,9.97,18000
6-Jan-10,10.15,10.19,9.90,9.95,30017
5-Jan-10,10.84,10.84,9.72,10.13,121312
4-Jan-10,9.52,9.82,9.52,9.70,37480
1-Jan-10,9.47,9.47,9.47,9.47,0
31-Dec-09,9.65,9.65,9.47,9.47,15100
30-Dec-09,9.85,9.85,9.61,9.75,6085
29-Dec-09,10.06,10.06,9.73,9.73,7239
28-Dec-09,9.70,10.00,9.70,9.86,10092
25-Dec-09,9.75,9.75,9.75,9.75,0
24-Dec-09,9.82,9.82,9.75,9.75,500
23-Dec-09,9.91,10.00,9.85,9.85,32423
22-Dec-09,9.44,10.21,9.44,9.87,107521
21-Dec-09,9.16,9.60,8.94,9.32,192873
18-Dec-09,8.78,8.96,8.72,8.88,13521
17-Dec-09,8.97,8.98,8.78,8.78,36636
16-Dec-09,8.98,8.98,8.78,8.83,15638
15-Dec-09,8.73,8.90,8.73,8.85,21249
14-Dec-09,8.56,9.04,8.53,8.85,39181
11-Dec-09,8.65,8.74,8.60,8.70,15300
10-Dec-09,8.57,8.75,8.50,8.75,40100
9-Dec-09,8.50,8.50,8.36,8.42,49410
8-Dec-09,8.49,8.59,8.41,8.50,10807
7-Dec-09,8.58,8.58,8.44,8.50,10800
4-Dec-09,8.53,8.70,8.44,8.55,19003
3-Dec-09,8.69,8.72,8.35,8.40,41800
2-Dec-09,8.60,8.63,8.50,8.57,23200
1-Dec-09,8.25,8.64,8.25,8.52,33676
30-Nov-09,7.98,8.25,7.98,8.23,16750
27-Nov-09,7.87,8.11,7.86,8.03,30092
26-Nov-09,8.18,8.18,8.18,8.18,0
25-Nov-09,8.04,8.18,8.00,8.18,26902
24-Nov-09,7.99,8.05,7.90,7.94,88034
23-Nov-09,8.00,8.05,7.91,7.98,108474
20-Nov-09,8.00,8.00,7.33,7.97,35626
19-Nov-09,8.01,8.12,7.98,8.00,43667
18-Nov-09,8.01,8.52,7.97,8.10,57012
17-Nov-09,7.90,8.01,7.80,8.01,342046
16-Nov-09,8.18,8.26,7.82,7.92,177107
13-Nov-09,8.07,8.18,7.98,8.04,51921
12-Nov-09,8.52,8.60,7.85,7.85,14080
11-Nov-09,8.80,8.84,8.65,8.66,17060
10-Nov-09,8.74,8.75,8.51,8.75,12869
9-Nov-09,8.95,8.95,8.20,8.65,25591
6-Nov-09,8.67,8.88,8.50,8.80,12191
5-Nov-09,8.81,8.81,8.56,8.56,16566
4-Nov-09,8.35,8.79,8.35,8.65,27048
3-Nov-09,8.37,8.42,8.17,8.26,9023
2-Nov-09,8.73,8.73,8.32,8.39,49296
