Date,Open,High,Low,Close,Volume
30-Jun-10,7.62,7.65,7.38,7.46,1544855
29-Jun-10,7.83,7.84,7.43,7.54,1656795
28-Jun-10,8.04,8.04,7.84,7.90,539697
25-Jun-10,7.72,8.08,7.65,8.01,1111247
24-Jun-10,7.76,7.91,7.65,7.72,833780
23-Jun-10,7.84,7.95,7.75,7.87,833274
22-Jun-10,8.11,8.18,7.82,7.91,1096649
21-Jun-10,8.37,8.39,8.03,8.10,1174898
18-Jun-10,8.31,8.41,8.23,8.23,755106
17-Jun-10,8.20,8.40,8.20,8.30,775282
16-Jun-10,8.26,8.33,8.21,8.22,1221282
15-Jun-10,8.31,8.43,8.24,8.37,820462
14-Jun-10,8.26,8.59,8.16,8.20,1588034
11-Jun-10,7.97,8.28,7.94,8.26,994289
10-Jun-10,7.89,8.10,7.89,8.06,932957
9-Jun-10,7.87,8.07,7.75,7.82,925001
8-Jun-10,7.66,7.83,7.50,7.82,1402679
7-Jun-10,8.05,8.07,7.56,7.71,1782712
4-Jun-10,8.21,8.27,7.91,8.06,2399862
3-Jun-10,8.33,8.40,8.20,8.38,1366035
2-Jun-10,7.99,8.25,7.90,8.23,1432756
1-Jun-10,8.20,8.43,7.96,7.99,1343829
31-May-10,8.28,8.28,8.28,8.28,0
28-May-10,8.41,8.46,8.23,8.28,1213938
27-May-10,8.28,8.44,8.26,8.32,1922690
26-May-10,8.15,8.47,8.07,8.11,2354368
25-May-10,7.78,8.08,7.70,7.99,3397935
24-May-10,8.14,8.22,7.90,7.91,6551059
21-May-10,7.04,7.65,7.01,7.56,2233802
20-May-10,7.80,7.88,7.18,7.19,3019759
19-May-10,7.76,8.02,7.59,7.98,3852068
18-May-10,8.34,8.34,7.77,7.87,1452466
17-May-10,8.29,8.39,7.80,8.11,1796163
14-May-10,8.53,8.53,8.01,8.28,1283543
13-May-10,8.21,8.78,8.19,8.41,2206482
12-May-10,8.40,8.42,8.12,8.21,2603688
11-May-10,8.08,8.63,8.05,8.34,2206087
10-May-10,8.14,8.24,8.02,8.16,2532032
7-May-10,8.14,8.18,7.06,7.50,6038547
6-May-10,8.61,8.65,7.37,8.06,5719362
5-May-10,8.18,8.62,7.81,8.25,5445542
4-May-10,8.79,8.80,8.23,8.43,3741365
3-May-10,9.08,9.19,8.85,9.19,2456345
30-Apr-10,9.36,9.49,8.83,8.84,3474860
29-Apr-10,8.81,9.15,8.75,9.00,2629032
28-Apr-10,8.64,8.80,8.31,8.75,1267432
27-Apr-10,8.90,8.90,8.33,8.51,1758604
26-Apr-10,8.95,8.96,8.85,8.88,1090861
23-Apr-10,8.90,9.00,8.88,8.89,707261
22-Apr-10,8.95,9.00,8.75,8.98,772463
21-Apr-10,8.96,9.03,8.79,8.89,1217228
20-Apr-10,8.60,8.95,8.56,8.95,1425350
19-Apr-10,8.43,8.68,8.37,8.52,1409475
16-Apr-10,8.88,8.90,8.20,8.55,2326888
15-Apr-10,8.89,8.99,8.82,8.92,883235
14-Apr-10,8.84,9.14,8.71,8.95,2434371
13-Apr-10,8.86,8.92,8.70,8.76,2151426
12-Apr-10,8.61,8.99,8.60,8.84,5247882
9-Apr-10,8.51,8.58,8.32,8.57,1331834
8-Apr-10,8.45,8.57,8.32,8.40,1112000
7-Apr-10,8.60,8.65,8.40,8.44,1343811
6-Apr-10,8.50,8.73,8.41,8.68,1801721
5-Apr-10,8.43,8.52,8.40,8.40,2472508
2-Apr-10,8.44,8.44,8.44,8.44,0
1-Apr-10,8.25,8.45,8.21,8.44,1807683
31-Mar-10,8.30,8.50,8.17,8.21,1404384
30-Mar-10,8.36,8.44,8.25,8.38,1408502
29-Mar-10,8.29,8.43,8.10,8.38,1664171
26-Mar-10,8.08,8.30,8.03,8.17,1162906
25-Mar-10,8.19,8.44,7.92,7.99,2496783
24-Mar-10,7.90,8.13,7.89,8.08,1760183
23-Mar-10,7.78,8.05,7.75,7.92,2573954
