Date,Open,High,Low,Close,Volume
30-Jun-10,41.70,42.86,41.10,41.91,628161
29-Jun-10,43.79,44.21,41.38,41.85,796523
28-Jun-10,44.29,45.20,44.29,44.67,500976
25-Jun-10,43.98,44.74,43.41,44.23,847346
24-Jun-10,44.06,44.92,43.29,43.77,820169
23-Jun-10,43.77,45.03,43.09,44.29,701020
22-Jun-10,44.20,45.31,44.00,44.14,746681
21-Jun-10,42.50,44.56,42.50,43.95,1147926
18-Jun-10,42.45,43.89,40.30,41.78,828067
17-Jun-10,42.89,43.15,41.91,42.45,298987
16-Jun-10,42.06,43.00,41.51,42.88,800028
15-Jun-10,41.40,42.67,41.40,42.43,668753
14-Jun-10,41.61,42.63,41.04,41.11,528096
11-Jun-10,40.42,41.50,40.28,41.32,621416
10-Jun-10,40.21,40.86,39.90,40.71,535787
9-Jun-10,39.39,41.01,39.09,39.56,432872
8-Jun-10,39.50,40.09,38.60,39.36,516770
7-Jun-10,40.58,40.97,39.29,39.48,748131
4-Jun-10,41.91,42.25,40.01,40.44,645384
3-Jun-10,43.95,44.05,42.56,43.00,592863
2-Jun-10,42.72,43.80,42.64,43.55,1123572
1-Jun-10,41.82,43.60,41.82,42.59,908442
31-May-10,42.06,42.06,42.06,42.06,0
28-May-10,42.54,43.48,41.62,42.06,954722
27-May-10,41.24,42.84,40.97,42.53,1243879
26-May-10,40.74,41.80,39.69,40.22,3000390
25-May-10,38.66,40.31,37.54,40.10,984076
24-May-10,39.03,40.13,38.88,39.56,746706
21-May-10,37.84,39.33,37.31,39.25,1058128
20-May-10,40.16,40.48,38.27,38.45,1266901
19-May-10,41.19,42.11,40.24,41.31,670581
18-May-10,42.00,42.86,41.47,41.54,646020
17-May-10,41.82,42.77,40.70,41.75,756939
14-May-10,41.11,41.50,40.44,41.43,646925
13-May-10,42.13,42.90,41.39,41.53,685842
12-May-10,41.77,42.44,41.42,42.32,784768
11-May-10,40.82,43.13,40.15,41.27,1313520
10-May-10,40.30,41.73,40.06,41.17,1023879
7-May-10,40.76,41.66,38.10,38.55,938881
6-May-10,43.84,43.96,39.21,41.60,1351255
5-May-10,44.68,44.81,43.08,44.19,493138
