Date,Open,High,Low,Close,Volume
30-Jun-10,6.18,6.67,6.06,6.41,7453029
29-Jun-10,6.24,6.25,5.98,6.11,5423337
28-Jun-10,6.50,6.78,6.40,6.47,3414702
25-Jun-10,6.41,6.75,6.30,6.51,7930341
24-Jun-10,6.85,6.85,6.37,6.40,6752704
23-Jun-10,7.14,7.14,6.73,6.93,4665044
22-Jun-10,7.35,7.48,7.00,7.00,5120413
21-Jun-10,8.07,8.07,7.20,7.29,5538351
18-Jun-10,8.09,8.25,7.72,7.78,5511171
17-Jun-10,8.58,8.78,7.76,8.20,11402345
16-Jun-10,8.05,8.25,7.92,8.02,4526219
15-Jun-10,8.09,8.23,7.90,8.18,3896166
14-Jun-10,7.88,8.44,7.87,7.99,5200211
11-Jun-10,7.48,7.76,7.33,7.74,3283303
10-Jun-10,7.29,7.64,7.26,7.64,4365036
9-Jun-10,7.13,7.61,6.86,6.96,5339615
8-Jun-10,7.01,7.24,6.76,6.98,4601417
7-Jun-10,7.60,7.80,6.91,6.93,4957565
4-Jun-10,7.95,8.12,7.35,7.50,7240069
3-Jun-10,7.84,8.51,7.80,8.35,7871835
2-Jun-10,7.47,7.60,7.15,7.41,3030247
1-Jun-10,7.80,7.94,7.30,7.30,3116433
31-May-10,7.95,7.95,7.95,7.95,0
28-May-10,8.18,8.32,7.92,7.95,3529649
27-May-10,7.89,8.14,7.82,8.14,2544083
26-May-10,7.71,8.08,7.41,7.57,5920572
25-May-10,6.95,7.47,6.67,7.44,3664004
24-May-10,7.55,7.69,7.29,7.31,3021932
21-May-10,6.63,7.83,6.61,7.57,6987200
20-May-10,7.16,7.39,6.79,6.90,5049030
19-May-10,7.49,7.84,7.25,7.45,3545283
18-May-10,8.08,8.25,7.50,7.56,3837376
17-May-10,8.23,8.29,7.55,7.89,4680696
14-May-10,8.49,8.50,7.83,8.17,6117376
13-May-10,9.00,9.15,8.52,8.63,5093414
12-May-10,8.14,9.11,8.14,9.06,5236589
11-May-10,7.94,8.36,7.88,8.10,3554908
10-May-10,7.79,8.27,7.72,8.16,4627984
7-May-10,7.22,7.56,6.58,7.03,5789700
6-May-10,7.75,8.17,6.18,7.37,5610588
5-May-10,8.05,8.32,7.61,7.87,4008939
4-May-10,8.52,8.55,8.06,8.17,4198496
3-May-10,8.37,8.82,8.32,8.73,3199414
30-Apr-10,8.82,8.88,8.27,8.28,3032918
29-Apr-10,8.78,8.89,8.60,8.79,3517874
28-Apr-10,8.75,8.89,8.50,8.61,3081432
27-Apr-10,9.32,9.35,8.62,8.65,4276636
26-Apr-10,9.48,9.75,9.36,9.37,4095667
23-Apr-10,9.65,9.81,9.36,9.44,4218945
22-Apr-10,9.67,9.75,9.31,9.65,4150405
21-Apr-10,9.07,9.72,8.90,9.66,5526277
20-Apr-10,8.81,8.98,8.66,8.94,2209868
19-Apr-10,8.88,9.00,8.43,8.73,2812725
16-Apr-10,9.11,9.27,8.80,8.96,3256364
15-Apr-10,9.58,9.60,9.15,9.23,4117237
14-Apr-10,8.80,9.66,8.73,9.59,6009962
13-Apr-10,8.47,8.70,8.38,8.57,1828528
12-Apr-10,8.43,8.57,8.35,8.48,3981956
9-Apr-10,8.47,8.78,8.03,8.64,9177033
8-Apr-10,7.27,8.50,6.94,8.49,18298787
7-Apr-10,7.50,7.67,7.12,7.26,7841474
6-Apr-10,7.44,7.51,7.25,7.43,5716434
5-Apr-10,7.08,7.70,6.95,7.35,6060522
2-Apr-10,6.98,6.98,6.98,6.98,0
1-Apr-10,6.42,7.09,6.42,6.98,5910125
31-Mar-10,6.39,6.52,6.35,6.37,3181709
30-Mar-10,6.46,6.52,6.29,6.44,1614969
29-Mar-10,6.51,6.60,6.40,6.42,981031
26-Mar-10,6.69,6.81,6.45,6.50,1248261
25-Mar-10,6.80,6.89,6.61,6.64,2061137
24-Mar-10,6.78,6.85,6.63,6.73,2045945
23-Mar-10,6.84,6.88,6.55,6.81,2595784
22-Mar-10,6.67,6.90,6.55,6.82,2873327
19-Mar-10,6.75,7.01,6.42,6.71,21286089
18-Mar-10,7.05,7.18,6.66,6.74,3466620
17-Mar-10,7.29,7.38,7.05,7.08,2520455
16-Mar-10,7.44,7.47,7.21,7.32,2645125
15-Mar-10,7.25,7.50,7.21,7.44,2044587
12-Mar-10,7.28,7.38,7.21,7.29,1577143
11-Mar-10,7.23,7.37,7.10,7.26,2141724
10-Mar-10,6.93,7.32,6.92,7.27,3385613
9-Mar-10,7.10,7.24,6.90,6.97,3065140
8-Mar-10,7.21,7.29,7.14,7.19,1724167
5-Mar-10,7.29,7.30,7.12,7.17,3144032
4-Mar-10,7.10,7.22,6.81,7.18,4890355
3-Mar-10,6.70,6.86,6.60,6.83,1945021
2-Mar-10,6.72,6.90,6.45,6.64,3392363
1-Mar-10,6.15,6.80,6.14,6.78,3073325
26-Feb-10,6.17,6.23,6.03,6.11,945088
25-Feb-10,6.00,6.24,5.89,6.22,1217396
24-Feb-10,6.18,6.24,6.07,6.14,995236
23-Feb-10,6.27,6.34,6.10,6.14,1026530
22-Feb-10,6.35,6.42,6.22,6.30,1296200
19-Feb-10,6.35,6.42,6.25,6.29,1006415
18-Feb-10,6.24,6.37,6.11,6.37,1675366
17-Feb-10,6.38,6.45,5.98,6.24,3012956
16-Feb-10,6.18,6.38,6.00,6.35,2992506
15-Feb-10,6.06,6.06,6.06,6.06,0
12-Feb-10,5.53,6.10,5.47,6.06,6515732
11-Feb-10,5.36,5.49,5.28,5.46,4615177
10-Feb-10,5.23,5.40,5.13,5.37,2785273
9-Feb-10,5.01,5.26,4.85,5.23,1922000
8-Feb-10,4.89,5.09,4.82,4.94,1273239
5-Feb-10,4.67,4.92,4.65,4.91,1829573
4-Feb-10,5.12,5.17,4.66,4.71,2356355
3-Feb-10,5.29,5.38,5.10,5.18,1697224
2-Feb-10,5.18,5.39,5.15,5.31,1963251
1-Feb-10,5.14,5.18,5.06,5.16,1721144
29-Jan-10,5.24,5.46,5.03,5.10,2003649
28-Jan-10,5.27,5.35,5.03,5.13,1512185
27-Jan-10,5.18,5.27,5.07,5.27,977688
26-Jan-10,5.09,5.27,4.96,5.20,1377799
25-Jan-10,5.09,5.20,5.02,5.10,1323836
22-Jan-10,5.26,5.30,4.91,5.03,1395606
21-Jan-10,5.38,5.40,5.12,5.25,2381365
20-Jan-10,5.43,5.43,5.25,5.39,2659588
19-Jan-10,5.41,5.55,5.30,5.50,1857337
18-Jan-10,5.41,5.41,5.41,5.41,0
15-Jan-10,5.64,5.80,5.36,5.41,2367827
14-Jan-10,5.53,5.69,5.53,5.60,2404462
13-Jan-10,5.68,5.72,5.52,5.59,1489434
12-Jan-10,5.95,5.95,5.41,5.55,2395370
11-Jan-10,5.95,6.00,5.85,5.89,2818636
8-Jan-10,5.80,5.94,5.72,5.74,2076997
7-Jan-10,5.82,6.07,5.74,5.80,3496969
6-Jan-10,5.55,5.64,5.45,5.48,1608170
5-Jan-10,5.38,5.72,5.25,5.55,2224884
4-Jan-10,5.21,5.39,5.12,5.35,1884978
1-Jan-10,5.09,5.09,5.09,5.09,0
31-Dec-09,5.20,5.25,5.06,5.09,687770
30-Dec-09,5.15,5.24,5.09,5.22,1048520
29-Dec-09,5.35,5.39,5.03,5.08,1759448
28-Dec-09,5.46,5.58,5.29,5.35,1229819
25-Dec-09,5.47,5.47,5.47,5.47,0
24-Dec-09,5.44,5.55,5.40,5.47,477397
23-Dec-09,5.53,5.60,5.42,5.49,1190724
22-Dec-09,5.60,5.65,5.50,5.57,2087172
21-Dec-09,5.59,5.74,5.57,5.60,2748038
18-Dec-09,5.46,5.66,5.40,5.57,5534122
17-Dec-09,5.15,5.55,5.02,5.45,8501640
16-Dec-09,4.67,5.00,4.67,4.98,1952769
15-Dec-09,4.94,4.94,4.62,4.65,2251164
14-Dec-09,4.76,4.96,4.72,4.94,1079818
11-Dec-09,4.63,4.81,4.60,4.75,880857
10-Dec-09,4.71,4.78,4.55,4.63,770356
9-Dec-09,4.81,4.86,4.63,4.73,851165
8-Dec-09,4.79,4.88,4.68,4.81,1138800
7-Dec-09,4.82,4.94,4.74,4.82,1623597
4-Dec-09,4.89,4.95,4.57,4.80,2430611
3-Dec-09,4.65,4.94,4.53,4.79,7926977
2-Dec-09,4.18,4.39,4.18,4.38,1760878
1-Dec-09,3.88,4.22,3.80,4.19,1736575
30-Nov-09,4.08,4.08,3.75,3.79,2182502
27-Nov-09,4.10,4.14,4.01,4.03,705415
26-Nov-09,4.28,4.28,4.28,4.28,0
25-Nov-09,4.23,4.31,4.20,4.28,807805
24-Nov-09,4.23,4.24,4.05,4.24,1057775
23-Nov-09,4.07,4.21,4.07,4.20,1123430
20-Nov-09,4.02,4.13,3.90,3.97,1191912
19-Nov-09,4.15,4.22,3.94,4.08,1159335
18-Nov-09,4.42,4.49,4.13,4.22,1063228
17-Nov-09,4.00,4.39,3.98,4.35,2944811
16-Nov-09,3.70,4.06,3.69,4.02,2755270
13-Nov-09,3.66,3.85,3.56,3.67,1330865
12-Nov-09,3.80,3.85,3.53,3.61,1600105
11-Nov-09,3.78,3.89,3.69,3.79,1097333
