Date,Open,High,Low,Close,Volume
25-Jun-10,5.36,5.36,5.00,5.23,2275257
24-Jun-10,5.11,5.51,5.04,5.31,95226
23-Jun-10,5.37,5.38,5.09,5.16,122662
22-Jun-10,5.43,5.46,5.37,5.40,80420
21-Jun-10,5.54,5.70,5.42,5.43,36511
18-Jun-10,5.49,5.53,5.42,5.53,77739
17-Jun-10,5.40,5.53,5.26,5.52,65592
16-Jun-10,5.53,5.55,5.33,5.41,82937
15-Jun-10,5.24,5.55,5.13,5.55,105160
14-Jun-10,5.40,5.57,5.18,5.20,273335
11-Jun-10,5.36,5.46,5.29,5.30,120059
10-Jun-10,5.59,5.59,5.30,5.40,74200
9-Jun-10,5.55,5.61,5.48,5.48,39080
8-Jun-10,5.77,5.84,5.50,5.55,48980
7-Jun-10,5.90,6.05,5.70,5.77,34739
4-Jun-10,6.08,6.24,5.87,5.92,73950
3-Jun-10,6.35,6.45,6.01,6.24,86896
2-Jun-10,6.46,6.61,6.24,6.37,89821
1-Jun-10,6.85,6.85,6.30,6.46,91652
31-May-10,6.87,6.87,6.87,6.87,0
28-May-10,6.88,7.07,6.70,6.87,37441
27-May-10,6.83,7.05,6.81,6.92,12237
26-May-10,6.83,6.93,6.72,6.73,8572
25-May-10,6.52,6.79,6.32,6.71,36716
24-May-10,6.78,6.87,6.67,6.74,26126
21-May-10,6.61,6.83,6.07,6.77,76902
20-May-10,6.98,7.00,6.80,6.86,40040
19-May-10,7.19,7.21,6.97,7.14,38603
18-May-10,7.37,7.40,7.06,7.25,59425
17-May-10,7.24,7.40,7.13,7.36,52556
14-May-10,7.31,7.40,6.99,7.25,68860
13-May-10,7.20,7.41,7.20,7.35,36060
12-May-10,6.98,7.25,6.93,7.18,38780
11-May-10,6.81,7.11,6.81,6.95,129219
10-May-10,6.85,7.06,6.78,6.95,42260
7-May-10,6.97,7.09,6.74,6.77,73989
6-May-10,7.35,7.35,6.70,6.97,150071
5-May-10,7.07,7.57,7.07,7.37,90317
4-May-10,7.35,7.35,6.00,7.17,319202
3-May-10,7.38,7.78,7.35,7.57,88091
30-Apr-10,7.47,7.64,7.25,7.31,42675
29-Apr-10,7.41,7.52,7.32,7.50,56264
28-Apr-10,7.33,7.47,7.21,7.35,32558
27-Apr-10,7.44,7.49,7.05,7.25,51941
26-Apr-10,7.55,7.61,7.22,7.50,57262
23-Apr-10,7.57,7.70,7.50,7.55,58973
22-Apr-10,7.59,7.71,7.52,7.57,29643
21-Apr-10,7.80,7.80,7.50,7.53,56531
20-Apr-10,7.53,7.80,7.42,7.80,37152
19-Apr-10,7.43,7.58,7.28,7.55,43403
16-Apr-10,7.48,7.59,7.44,7.50,43853
15-Apr-10,7.55,7.64,7.40,7.55,77595
14-Apr-10,7.61,7.69,7.55,7.59,84137
13-Apr-10,7.61,7.68,7.57,7.58,31539
12-Apr-10,7.62,7.70,7.61,7.65,52839
9-Apr-10,7.51,7.61,7.39,7.60,27658
8-Apr-10,7.30,7.65,7.25,7.52,59022
7-Apr-10,7.27,7.37,7.17,7.30,55595
6-Apr-10,7.35,7.46,7.13,7.23,50152
5-Apr-10,7.45,7.50,7.11,7.32,122111
2-Apr-10,7.47,7.47,7.47,7.47,0
1-Apr-10,7.44,7.59,7.42,7.47,38143
31-Mar-10,7.58,7.58,7.40,7.44,44063
30-Mar-10,7.55,7.60,7.50,7.58,21044
29-Mar-10,7.56,7.68,7.53,7.55,63219
26-Mar-10,7.61,7.61,7.50,7.59,38538
25-Mar-10,7.59,7.60,7.49,7.54,25270
24-Mar-10,7.46,7.57,7.34,7.55,59962
23-Mar-10,7.35,7.49,7.12,7.44,66847
