Date,Open,High,Low,Close,Volume
30-Jun-10,27.80,28.87,27.31,27.57,1964777
29-Jun-10,29.84,30.00,27.44,27.78,1907150
28-Jun-10,31.04,31.09,30.21,30.30,1279850
25-Jun-10,30.21,30.62,29.91,30.54,2954673
24-Jun-10,30.12,30.73,29.78,30.20,2094616
23-Jun-10,31.72,31.86,30.65,31.40,1899699
22-Jun-10,33.22,33.59,31.81,31.93,1494538
21-Jun-10,33.72,33.91,32.59,32.98,1577993
18-Jun-10,32.11,33.20,32.11,32.66,1231824
17-Jun-10,32.70,32.83,30.88,32.25,1844015
16-Jun-10,33.03,33.08,32.12,32.64,1356045
15-Jun-10,33.02,33.75,32.54,33.41,2521191
14-Jun-10,31.70,32.35,31.31,31.46,1863073
11-Jun-10,29.12,31.21,28.80,30.95,1906404
10-Jun-10,28.95,29.95,28.95,29.67,1819417
9-Jun-10,29.32,30.00,28.10,28.39,1437989
8-Jun-10,29.02,29.86,28.23,29.07,1464844
7-Jun-10,29.78,30.42,28.80,28.86,1382746
4-Jun-10,30.10,30.65,29.29,29.70,1751529
3-Jun-10,31.28,32.06,30.50,31.57,1727797
2-Jun-10,28.90,31.11,28.90,31.07,1744963
1-Jun-10,29.19,30.27,28.82,28.84,1833880
31-May-10,30.08,30.08,30.08,30.08,0
28-May-10,31.10,31.28,29.50,30.08,1377090
27-May-10,29.11,30.89,29.09,30.79,1945718
26-May-10,28.82,29.94,28.03,28.05,3854873
25-May-10,26.96,28.37,26.07,28.31,2504312
24-May-10,27.41,28.48,27.11,28.01,2963181
21-May-10,26.16,27.77,24.60,27.42,3165492
20-May-10,28.11,28.20,26.19,26.75,4693299
19-May-10,30.51,30.79,28.56,29.29,2341800
18-May-10,32.36,32.63,30.42,30.82,2196901
17-May-10,32.60,33.34,30.82,31.79,2358376
14-May-10,33.74,33.74,31.34,32.44,2172525
13-May-10,34.36,34.81,33.66,33.91,1115944
12-May-10,33.23,34.63,33.13,34.29,1981813
11-May-10,32.96,33.44,32.01,32.90,2085483
10-May-10,32.17,33.90,31.91,33.60,2317613
7-May-10,31.66,32.58,29.84,30.08,3884583
6-May-10,31.89,33.29,27.00,31.74,6994175
5-May-10,30.74,31.12,27.03,30.24,4740505
4-May-10,32.88,33.01,31.87,32.09,2054922
3-May-10,32.34,33.73,32.32,33.34,1431250
30-Apr-10,33.53,34.50,32.03,32.21,1423961
29-Apr-10,32.53,34.00,32.53,33.68,1375209
28-Apr-10,31.96,32.56,31.18,32.03,1563749
27-Apr-10,34.10,34.10,31.61,31.87,3231809
26-Apr-10,34.27,35.34,34.27,34.43,1441609
23-Apr-10,33.91,34.68,33.73,34.46,1603020
22-Apr-10,33.01,33.93,32.25,33.82,1217531
21-Apr-10,33.18,33.41,32.63,33.36,846113
20-Apr-10,32.91,33.79,32.62,33.06,1195174
19-Apr-10,33.10,33.22,31.84,32.80,1550177
16-Apr-10,33.27,34.28,32.35,33.36,2591637
15-Apr-10,32.34,34.03,32.23,33.44,1753193
14-Apr-10,31.83,32.60,31.77,32.42,1313565
13-Apr-10,31.55,31.74,31.00,31.59,1593090
12-Apr-10,31.40,31.86,31.24,31.70,918806
9-Apr-10,31.53,31.97,31.11,31.40,1131266
8-Apr-10,31.17,31.52,30.39,31.43,1913861
7-Apr-10,30.55,31.78,30.40,31.35,2994124
6-Apr-10,30.50,30.87,30.31,30.80,955707
5-Apr-10,30.37,30.75,30.20,30.66,904288
2-Apr-10,30.01,30.01,30.01,30.01,0
1-Apr-10,29.15,30.48,29.01,30.01,1818912
31-Mar-10,28.41,28.83,28.04,28.58,1066234
30-Mar-10,29.46,29.53,28.40,28.50,946193
29-Mar-10,29.38,30.05,29.11,29.37,891484
26-Mar-10,28.41,28.94,28.32,28.92,1144366
25-Mar-10,28.81,29.00,28.33,28.33,1049127
24-Mar-10,28.95,29.09,28.50,28.64,1063390
23-Mar-10,28.42,29.38,28.21,29.20,1599671
22-Mar-10,26.92,28.66,26.80,28.45,1551098
19-Mar-10,27.51,27.73,27.01,27.01,2721775
18-Mar-10,27.57,27.82,27.38,27.47,694964
17-Mar-10,27.65,27.98,27.45,27.61,814055
16-Mar-10,27.63,27.82,26.98,27.57,708062
15-Mar-10,27.50,27.62,27.04,27.56,1065146
12-Mar-10,27.97,28.46,27.63,27.82,1210064
11-Mar-10,27.46,27.90,27.24,27.75,1620570
10-Mar-10,27.79,27.85,27.20,27.47,1183058
9-Mar-10,27.50,27.86,27.21,27.64,1367414
8-Mar-10,27.87,27.95,27.52,27.77,951882
5-Mar-10,27.65,27.95,27.42,27.64,1679993
4-Mar-10,27.04,27.48,26.81,27.41,1807796
3-Mar-10,26.64,27.35,26.47,27.10,2789763
2-Mar-10,26.27,27.02,25.83,26.48,11637264
1-Mar-10,27.23,27.95,27.04,27.81,1791930
26-Feb-10,26.13,27.10,26.04,26.87,2284487
25-Feb-10,24.05,26.67,23.35,26.14,4800270
24-Feb-10,23.39,24.55,23.39,24.38,1766912
23-Feb-10,23.68,24.42,23.07,23.36,1935265
22-Feb-10,23.78,23.83,23.20,23.62,1004001
19-Feb-10,23.39,23.66,22.98,23.59,1001330
18-Feb-10,22.87,23.92,22.87,23.49,1620244
17-Feb-10,22.27,23.03,22.22,22.94,2219590
16-Feb-10,21.93,22.21,21.67,22.09,1103190
15-Feb-10,21.67,21.67,21.67,21.67,0
12-Feb-10,21.61,22.10,21.30,21.67,1820328
11-Feb-10,21.92,22.19,21.40,22.05,1500412
10-Feb-10,22.12,22.23,21.45,21.88,651254
9-Feb-10,21.84,22.46,21.49,22.12,1103686
8-Feb-10,22.13,22.61,21.33,21.41,1511644
5-Feb-10,22.71,22.90,21.41,22.33,1657055
4-Feb-10,24.25,24.25,22.80,22.97,1241687
3-Feb-10,24.56,24.99,24.36,24.65,708332
2-Feb-10,24.41,24.74,23.87,24.66,979090
1-Feb-10,23.40,24.46,23.10,24.31,1078975
29-Jan-10,23.42,24.15,22.80,23.03,1849596
28-Jan-10,23.68,24.01,22.71,23.35,1045009
27-Jan-10,23.87,24.07,23.07,23.49,1511418
26-Jan-10,23.46,24.21,23.06,23.85,1595571
25-Jan-10,24.82,25.11,23.57,23.75,2072868
22-Jan-10,24.99,26.35,24.15,24.25,1848670
21-Jan-10,25.68,26.56,24.69,24.85,1352482
20-Jan-10,25.36,25.99,25.36,25.67,904091
19-Jan-10,25.64,26.76,25.56,25.95,1106283
18-Jan-10,25.78,25.78,25.78,25.78,0
15-Jan-10,25.95,26.41,25.70,25.78,1088383
14-Jan-10,26.05,26.27,25.68,26.12,1011504
13-Jan-10,24.87,26.28,24.69,26.05,1529578
12-Jan-10,25.07,25.32,24.38,24.85,1468589
11-Jan-10,25.51,25.61,24.92,25.42,1841566
8-Jan-10,25.04,25.62,24.98,25.32,941642
7-Jan-10,25.12,25.41,24.68,25.31,1723654
6-Jan-10,25.58,25.88,25.07,25.26,1243599
5-Jan-10,24.82,26.13,24.71,25.68,1993830
4-Jan-10,24.26,24.97,24.26,24.78,1356890
1-Jan-10,23.88,23.88,23.88,23.88,0
31-Dec-09,22.97,24.22,22.97,23.88,1830866
30-Dec-09,22.58,22.98,22.55,22.90,1270405
29-Dec-09,23.43,23.67,22.78,22.86,854712
28-Dec-09,23.50,23.83,23.33,23.39,751393
25-Dec-09,23.51,23.51,23.51,23.51,0
24-Dec-09,23.70,23.81,23.46,23.51,287033
23-Dec-09,23.98,24.05,23.19,23.51,1652951
22-Dec-09,24.28,24.32,23.74,23.95,1207839
21-Dec-09,24.72,24.87,23.90,24.15,2389924
18-Dec-09,25.25,25.42,24.25,24.66,1890169
17-Dec-09,24.89,25.52,24.89,25.22,1007213
16-Dec-09,25.08,25.52,24.89,25.43,862282
15-Dec-09,23.89,25.06,23.89,24.77,1131678
14-Dec-09,24.57,24.61,23.85,24.30,1218017
11-Dec-09,24.40,24.74,23.66,24.32,1255488
10-Dec-09,24.34,24.40,23.66,23.78,1913443
9-Dec-09,23.48,24.00,23.06,23.95,1462625
8-Dec-09,22.87,23.56,22.62,23.46,1373169
7-Dec-09,23.50,24.48,22.91,23.34,2090967
4-Dec-09,23.51,23.95,22.74,23.61,1363259
3-Dec-09,23.35,23.55,22.90,22.99,1073917
2-Dec-09,23.29,23.67,22.83,23.10,1391492
1-Dec-09,22.19,23.79,21.73,23.29,2543949
30-Nov-09,22.14,22.28,21.50,21.76,1395367
27-Nov-09,21.49,22.26,21.10,22.08,698034
26-Nov-09,22.68,22.68,22.68,22.68,0
25-Nov-09,22.82,22.91,22.14,22.68,960836
24-Nov-09,22.83,22.83,22.15,22.47,1392337
23-Nov-09,23.50,23.92,22.47,22.73,1475522
20-Nov-09,22.74,23.27,22.51,22.85,1285659
19-Nov-09,23.01,23.45,22.38,23.05,1751652
18-Nov-09,22.93,23.95,22.82,23.43,1865878
17-Nov-09,21.90,23.28,21.60,23.15,5671641
16-Nov-09,22.22,22.50,21.85,21.89,4091794
13-Nov-09,22.46,24.05,22.42,22.98,2311565
12-Nov-09,23.44,23.83,22.44,22.48,1632232
11-Nov-09,23.36,23.59,23.02,23.55,1749069
10-Nov-09,22.30,23.59,21.90,23.25,2989492
9-Nov-09,21.01,23.27,20.82,23.13,3843693
6-Nov-09,19.66,20.68,19.16,20.59,2017453
5-Nov-09,19.03,19.80,18.69,19.73,4002029
4-Nov-09,19.00,19.50,17.75,18.25,3520031
