Date,Open,High,Low,Close,Volume
25-Jun-10,35.05,35.42,34.38,34.69,845618
24-Jun-10,35.05,35.20,33.86,34.75,734167
23-Jun-10,35.37,35.99,34.40,35.31,519383
22-Jun-10,36.84,37.23,35.15,35.36,932719
21-Jun-10,37.76,38.40,36.28,36.57,621346
18-Jun-10,37.47,38.13,36.89,37.12,826979
17-Jun-10,38.10,38.43,37.07,37.49,537704
16-Jun-10,37.65,38.38,37.43,37.78,692435
15-Jun-10,37.38,38.20,36.91,38.01,752523
14-Jun-10,36.81,37.94,36.67,36.86,703825
11-Jun-10,35.51,36.99,35.30,36.67,800238
10-Jun-10,34.08,35.95,34.08,35.90,754523
9-Jun-10,34.20,35.14,33.13,33.37,796316
8-Jun-10,33.11,33.93,31.89,33.85,1105750
7-Jun-10,34.08,34.92,32.94,32.99,1141340
4-Jun-10,34.40,34.60,33.50,33.87,1189590
3-Jun-10,35.18,35.39,34.20,35.11,918021
2-Jun-10,34.54,35.41,34.52,35.36,1050137
1-Jun-10,36.20,36.20,34.50,34.52,1438838
31-May-10,36.52,36.52,36.52,36.52,0
28-May-10,35.66,36.74,35.00,36.52,1420475
27-May-10,34.03,35.65,33.87,35.64,1663353
26-May-10,35.36,35.88,32.83,33.29,1648369
25-May-10,32.84,35.16,32.52,34.89,1551495
24-May-10,34.07,35.03,33.58,33.76,779936
21-May-10,31.91,34.56,31.26,33.94,1160467
20-May-10,33.13,33.69,32.50,32.61,1352051
19-May-10,33.89,34.60,33.59,34.41,1460520
18-May-10,35.26,35.73,33.62,33.97,777769
17-May-10,34.46,35.27,32.87,34.60,698455
14-May-10,34.89,35.07,33.88,34.17,1216277
13-May-10,35.74,35.90,35.10,35.28,1173835
12-May-10,35.79,36.58,35.55,35.78,1613984
11-May-10,33.54,36.09,33.25,35.51,1728446
10-May-10,32.14,34.31,32.00,34.12,2353116
7-May-10,31.82,32.80,30.88,32.02,1394173
6-May-10,32.79,33.06,29.50,31.95,1396913
5-May-10,32.72,33.42,32.55,32.96,801775
4-May-10,33.18,33.49,32.88,33.27,1422717
3-May-10,32.88,34.00,32.56,33.82,936559
30-Apr-10,32.35,32.99,32.00,32.69,1109350
29-Apr-10,31.00,32.36,30.65,32.28,1863044
28-Apr-10,29.61,29.64,28.74,29.23,513123
27-Apr-10,30.00,30.31,29.22,29.36,647720
26-Apr-10,30.08,30.60,29.89,30.21,453143
23-Apr-10,30.38,30.38,29.69,30.08,466136
22-Apr-10,29.23,30.65,28.83,30.29,856903
21-Apr-10,29.55,30.00,29.05,29.56,616539
20-Apr-10,28.51,29.49,28.51,29.48,621655
19-Apr-10,28.18,28.76,27.45,28.42,421568
16-Apr-10,28.09,28.53,27.19,28.28,825005
15-Apr-10,28.40,28.55,27.99,28.18,494613
14-Apr-10,28.36,28.61,28.11,28.50,524189
13-Apr-10,28.73,28.73,28.19,28.21,344631
12-Apr-10,28.83,29.00,28.47,28.73,673040
9-Apr-10,29.00,29.18,28.76,28.81,380240
8-Apr-10,28.99,29.41,28.69,29.05,238817
7-Apr-10,29.06,29.25,28.55,29.24,560992
6-Apr-10,28.38,29.34,28.38,29.11,379104
5-Apr-10,28.57,29.20,28.19,29.00,547720
2-Apr-10,28.31,28.31,28.31,28.31,0
1-Apr-10,28.13,28.50,28.00,28.31,376809
31-Mar-10,28.23,28.48,27.76,27.83,299610
30-Mar-10,28.21,28.65,27.95,28.25,246399
29-Mar-10,28.46,28.95,28.07,28.23,350076
26-Mar-10,28.30,29.00,28.01,28.26,307063
25-Mar-10,28.90,29.28,28.27,28.30,361476
24-Mar-10,28.54,29.15,28.54,28.67,318083
23-Mar-10,27.94,28.76,27.94,28.68,312940
22-Mar-10,27.27,28.09,26.95,28.00,730709
19-Mar-10,29.24,29.28,27.22,27.39,1224025
18-Mar-10,29.08,29.39,28.70,29.11,405478
17-Mar-10,29.22,29.45,29.06,29.13,306317
16-Mar-10,29.05,29.44,28.72,29.04,453603
15-Mar-10,28.75,29.08,28.31,29.03,450977
12-Mar-10,29.25,29.25,28.56,28.83,355248
11-Mar-10,28.56,29.25,28.50,29.14,446541
10-Mar-10,28.45,29.15,28.45,28.76,520079
9-Mar-10,28.37,28.75,28.16,28.40,690693
8-Mar-10,28.50,28.67,28.10,28.40,433944
5-Mar-10,27.42,28.45,27.42,28.45,850494
4-Mar-10,26.83,27.31,26.73,27.26,400263
3-Mar-10,27.11,27.61,26.81,26.81,487432
2-Mar-10,26.76,27.45,26.54,26.91,736349
1-Mar-10,25.64,27.01,25.49,26.64,783543
26-Feb-10,25.10,25.81,24.50,25.62,829486
25-Feb-10,24.85,25.87,24.56,25.82,831170
24-Feb-10,24.89,25.93,24.71,25.15,1162103
23-Feb-10,24.59,24.90,23.70,24.70,1338198
22-Feb-10,25.02,25.68,24.02,24.68,2056686
19-Feb-10,26.69,27.00,26.38,26.54,591918
18-Feb-10,26.24,26.90,25.72,26.78,548251
17-Feb-10,25.94,26.49,25.92,26.37,1054559
16-Feb-10,24.57,25.99,23.75,25.87,998061
15-Feb-10,24.89,24.89,24.89,24.89,0
12-Feb-10,25.45,25.97,24.68,24.89,1225373
11-Feb-10,25.15,25.85,24.94,25.64,854378
10-Feb-10,24.09,25.39,23.91,25.37,1139411
9-Feb-10,23.97,24.38,23.72,24.08,498059
8-Feb-10,23.86,24.14,23.34,23.50,623363
5-Feb-10,23.46,23.90,22.33,23.83,815220
4-Feb-10,24.37,24.58,23.24,23.36,594759
3-Feb-10,24.10,24.83,23.86,24.58,994444
2-Feb-10,24.51,24.69,23.80,24.26,1277577
1-Feb-10,24.57,25.11,23.58,24.58,4822894
29-Jan-10,20.72,21.75,20.56,20.93,1058921
28-Jan-10,20.71,20.87,20.07,20.53,352481
27-Jan-10,20.50,20.86,20.06,20.70,459421
26-Jan-10,19.99,21.11,19.56,20.72,890705
25-Jan-10,20.08,20.70,19.49,20.16,584722
22-Jan-10,19.82,20.60,19.30,19.71,599397
21-Jan-10,19.82,20.15,19.30,19.83,650772
20-Jan-10,20.07,20.07,19.26,19.72,433615
19-Jan-10,19.76,20.67,19.76,20.23,650797
18-Jan-10,19.43,19.43,19.43,19.43,0
15-Jan-10,19.92,19.98,18.95,19.43,440388
14-Jan-10,20.21,20.44,19.41,19.90,291513
13-Jan-10,20.52,20.72,19.30,20.42,567068
12-Jan-10,20.79,20.96,20.21,20.46,646121
11-Jan-10,20.57,21.46,20.37,20.96,529905
8-Jan-10,20.30,20.50,19.86,20.27,256264
7-Jan-10,20.67,20.67,19.89,20.34,375626
6-Jan-10,20.44,20.65,19.90,20.51,585510
5-Jan-10,18.69,20.88,18.62,20.35,1407222
4-Jan-10,18.72,18.82,18.23,18.73,353711
1-Jan-10,18.26,18.26,18.26,18.26,0
31-Dec-09,18.61,18.61,18.25,18.26,227422
30-Dec-09,18.25,18.74,18.24,18.57,233682
29-Dec-09,18.48,18.53,18.25,18.35,168757
28-Dec-09,18.94,19.25,18.20,18.47,160946
25-Dec-09,18.89,18.89,18.89,18.89,0
24-Dec-09,19.02,19.74,18.78,18.89,214817
23-Dec-09,18.60,19.02,18.27,19.01,240084
22-Dec-09,18.59,18.62,18.18,18.41,236958
21-Dec-09,18.16,18.53,18.06,18.48,246261
18-Dec-09,18.62,18.73,17.65,18.16,604998
17-Dec-09,18.55,18.83,18.02,18.44,267066
16-Dec-09,18.89,19.15,18.62,18.82,347983
15-Dec-09,18.85,19.29,18.70,18.79,465859
14-Dec-09,19.10,19.42,18.46,18.98,474068
11-Dec-09,19.31,19.40,18.01,18.61,731256
10-Dec-09,19.49,19.79,18.32,19.05,1066589
9-Dec-09,18.23,19.61,17.27,19.48,2394712
8-Dec-09,16.59,16.59,15.91,16.31,469148
7-Dec-09,17.13,17.20,16.50,16.71,412376
4-Dec-09,16.60,17.40,16.57,17.22,591878
3-Dec-09,16.39,16.97,16.08,16.16,731378
2-Dec-09,15.12,16.48,15.12,16.18,809480
1-Dec-09,14.92,15.39,14.92,15.15,726815
30-Nov-09,15.07,15.07,14.42,14.83,850125
27-Nov-09,15.02,15.24,14.32,14.95,468553
26-Nov-09,15.63,15.63,15.63,15.63,0
25-Nov-09,15.92,16.01,15.37,15.63,504815
24-Nov-09,16.59,16.59,15.73,15.89,641368
23-Nov-09,16.63,16.92,16.42,16.59,404675
20-Nov-09,16.20,16.46,16.07,16.14,415566
19-Nov-09,17.46,17.46,16.27,16.32,750004
18-Nov-09,17.59,17.67,17.20,17.55,528587
17-Nov-09,17.13,17.65,16.78,17.53,613189
16-Nov-09,16.75,17.24,16.71,17.19,572037
13-Nov-09,15.86,16.73,15.79,16.63,1144770
12-Nov-09,17.01,17.25,15.61,15.82,1630689
11-Nov-09,17.50,17.57,16.68,17.10,869935
10-Nov-09,17.45,17.68,16.85,17.23,998869
9-Nov-09,17.83,18.68,17.42,17.54,887571
6-Nov-09,17.78,18.32,17.48,17.81,764153
5-Nov-09,17.33,18.21,17.25,18.03,650588
4-Nov-09,18.07,18.19,17.06,17.09,902801
3-Nov-09,17.70,18.15,17.38,17.87,914075
2-Nov-09,18.35,18.54,17.37,17.89,786683
30-Oct-09,19.91,20.00,17.78,18.23,1065122
29-Oct-09,18.50,20.58,18.18,20.19,1941322
28-Oct-09,19.05,19.12,16.63,16.87,1612399
27-Oct-09,19.25,19.41,18.76,19.11,690727
26-Oct-09,19.86,20.54,18.70,19.16,752475
23-Oct-09,20.18,20.72,19.34,19.89,794326
22-Oct-09,19.82,20.40,19.58,20.16,504799
21-Oct-09,20.05,20.75,19.85,19.88,731022
20-Oct-09,20.75,20.90,19.90,20.07,675670
19-Oct-09,20.15,21.01,19.91,20.71,547840
16-Oct-09,20.24,20.50,19.80,20.01,368581
15-Oct-09,19.86,20.47,19.85,20.42,341889
14-Oct-09,20.04,20.25,19.75,20.11,397960
13-Oct-09,19.72,19.98,19.52,19.76,589258
12-Oct-09,19.84,20.20,19.53,19.72,346557
9-Oct-09,19.83,20.14,19.55,19.85,459166
8-Oct-09,19.91,20.58,19.72,19.79,692443
7-Oct-09,19.19,19.78,19.01,19.72,518603
6-Oct-09,18.38,19.38,18.33,19.23,948802
5-Oct-09,17.45,18.39,17.15,18.22,510231
2-Oct-09,17.05,18.00,17.05,17.39,861162
1-Oct-09,18.01,18.11,17.20,17.42,734089
30-Sep-09,17.95,18.42,17.53,17.88,763794
29-Sep-09,17.15,18.46,17.14,17.92,1034665
28-Sep-09,16.58,17.41,16.58,17.08,577471
25-Sep-09,15.74,16.59,15.20,16.51,691250
24-Sep-09,16.95,17.01,15.55,15.92,743780
23-Sep-09,17.01,17.18,16.78,16.87,440886
22-Sep-09,17.34,17.43,16.98,17.00,501394
21-Sep-09,17.26,17.67,17.10,17.30,573746
18-Sep-09,17.21,17.55,17.01,17.50,687582
17-Sep-09,17.40,17.90,16.80,17.12,313233
16-Sep-09,16.41,17.40,16.41,17.38,478322
15-Sep-09,16.00,16.50,15.73,16.43,475731
14-Sep-09,15.71,16.02,15.60,16.02,376454
11-Sep-09,16.04,16.05,15.66,15.82,284061
10-Sep-09,15.74,16.13,15.60,16.00,427077
9-Sep-09,15.40,15.99,15.31,15.81,674699
8-Sep-09,15.77,16.04,15.24,15.40,461835
4-Sep-09,15.44,15.73,15.13,15.67,416012
3-Sep-09,15.18,15.64,15.12,15.44,409095
2-Sep-09,15.26,15.41,14.79,15.33,905542
1-Sep-09,15.67,16.25,15.30,15.37,1007990
31-Aug-09,15.27,15.79,15.24,15.70,675756
28-Aug-09,15.71,15.97,15.51,15.74,474375
27-Aug-09,15.85,16.01,14.85,15.70,878083
26-Aug-09,15.66,16.05,15.52,15.87,993976
25-Aug-09,15.19,15.84,15.05,15.69,746175
24-Aug-09,15.01,15.41,14.83,15.04,605009
21-Aug-09,14.99,15.28,14.81,14.98,939339
20-Aug-09,14.74,15.00,14.54,14.94,621611
19-Aug-09,14.02,14.69,13.85,14.60,502364
18-Aug-09,14.00,14.59,13.92,14.32,763114
17-Aug-09,14.05,14.09,13.30,13.93,1039693
14-Aug-09,14.18,14.55,13.92,14.49,639906
13-Aug-09,13.89,14.21,13.82,14.17,584300
12-Aug-09,14.00,14.32,13.58,13.82,879340
10-Aug-09,12.93,13.74,12.65,13.65,1042854
7-Aug-09,13.49,13.65,12.95,13.00,498873
6-Aug-09,13.25,13.46,12.79,13.15,484415
5-Aug-09,13.33,13.67,12.80,13.00,545759
4-Aug-09,12.74,13.65,12.41,13.31,886572
3-Aug-09,11.41,13.85,11.41,12.90,2222496
31-Jul-09,11.38,12.54,11.15,11.39,1994216
30-Jul-09,9.31,11.34,9.11,10.80,2219922
29-Jul-09,8.62,8.62,8.32,8.32,331220
28-Jul-09,8.51,8.70,8.23,8.67,366453
27-Jul-09,8.63,8.63,8.18,8.57,568247
24-Jul-09,8.63,9.20,8.41,8.47,790213
23-Jul-09,7.03,11.54,7.03,8.63,6299499
22-Jul-09,7.16,7.45,7.01,7.03,470736
21-Jul-09,7.21,7.31,6.96,7.20,207666
20-Jul-09,6.80,7.19,6.74,7.18,232980
17-Jul-09,7.07,7.15,6.67,6.79,326774
16-Jul-09,6.70,7.13,6.63,7.09,325294
15-Jul-09,6.43,6.83,6.34,6.73,378858
14-Jul-09,6.01,6.34,5.95,6.30,384277
13-Jul-09,6.11,6.11,5.81,6.00,573364
10-Jul-09,6.12,6.16,6.06,6.11,243235
9-Jul-09,6.25,6.33,6.05,6.15,202662
8-Jul-09,6.15,6.30,5.87,6.21,441306
7-Jul-09,6.12,6.22,6.06,6.13,202411
6-Jul-09,6.37,6.46,6.05,6.16,424615
3-Jul-09,6.46,6.46,6.46,6.46,0
2-Jul-09,6.21,6.55,6.03,6.46,817285
1-Jul-09,6.15,6.50,6.07,6.46,635663
30-Jun-09,6.05,6.24,5.96,6.11,302853
29-Jun-09,6.33,6.50,5.67,6.04,297859
