Weber 5C3P Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-5E3,"Cabinet, 5E3, complete"
1,5E3KT,"5C3 Chassis kit. Chassis. brass plate, fiber boards"
1,12A150A-50,"Speaker, 12"", 12A150A, 25 watts, light dope, 8 ohms"
1,W025130 (EU),Power Transformer    USA  EU
1,W404248,"Transformer, output"
1,WZ34,Copper Cap Rectifier
2,6L6GCR,Vacuum tube
2,6N9P,Vacuum tube
1,PC-CUT,"Power cord, cut end"
8,Nut-#8-32,"Nut, #8-32 with integral washer (for mounting speaker)"
,,
1,CCW-5E3,"Kit, cloth covered wire, 5E3"
,"( 10 ft. Red, Yellow, Green, 4 ft. Black, White)",
3,CHK-11,"Knob, black, chicken head, flat top"
1,CF-2,"Fuse, 2 amp"
,,
5,SKT8,"Tube socket, octal"
5,TR-8,"Clamp, octal"
10,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
10,Spacer-SKT,"Spacer, nylon, for SKT8"
,,
1,PP-C,"Phone plug, cable mount"
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
2,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
1,PJP,"Chassis mount phone jack, non shorting"
5,PJP-S,"Chassis mount phone jack, shorting"
2,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
2,#8 sheet metal screw,"Fiber Board Mounting Screws, #8 sheet metal"
3,WP105A,"Potentiometer, 1 meg audio"
1,WP503L-PCB,"Potentiometer, 50K linear, PCB mount"
,,
1,RES250-5,"Resistor, 250, 5 watt"
1,MFR2.5K-.5,"Resistor, 2.5K, 1/2 watt"
1,MFR25K-.5,"Resistor, 25K, 1/2 watt"
2,MFR75K-.5,"Resistor, 75K, 1/2 watt"
5,MFR250K-.5,"Resistor, 250K, 1/2 watt"
2,MFR1M-.5,"Resistor, 1M ohm, 1/2 watt"
2,MFR5M-.5,"Resistor, 5M ohm, 1/2 watt"
2,MFR10K-2,"Resistor, 10K, 2 watt"
1,SMC501-500,"Capacitor, 500pF, 500 volts"
1,PEC472-630,"Capacitor, .0047uF, 630 volts"
4,PEC473-630,"Capacitor, .047uF, 630 volts"
2,PEC104-630,"Capacitor, .1uF, 630 volts"
2,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC506-150,"Capacitor, 50uF, 150 volts"
3,EC406-450,"Capacitor, 40uF, 450 volts"
