Weber 5F8a Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-5F8A,"Cabinet, 5F8A, complete"
1,5F8KT,"5F8A Chassis kit. Chassis. brass plate, fiber boards"
1,5F6FB_PS,cap fiber board
2,12A150-A,"Speaker, Vintage Series, 12A150, AlNiCo, 8 ohms, A model"
1,W022756,"Transformer, power"
1,W022889,"Transformer, output"
1,W022699,Choke
1,WZ68,Copper Cap Rectifier
4,6L6GCR,Vacuum tube
3,12AX7B,Vacuum tube
1,PC-CUT,"Power cord, cut end"
8,Nut-#8-32,"Nut, #8-32 with integral washer (for mounting speaker)"
,,
1,CCW-5F8A,"Kit, cloth covered wire, 5F8A"
,"( 12 ft. Red, Yellow, Green, 4 ft. Black, White)",
6,CHK-11,"Knob, black, chicken head, flat top"
1,CF-3,"Fuse, 3 amp"
,,
5,SKT8,"Tube socket, octal"
3,SKT9,"Tube socket, 9 pin"
5,TR-8,"Clamp, octal"
16,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
10,Spacer-SKT ,"Spacer, nylon, for SKT8"
,,
1,PP-C,"Phone plug, cable mount"
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
2,PJP,"Chassis mount phone jack, non shorting"
4,PJP-S,"Chassis mount phone jack, shorting"
3,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
4,#8 sheet metal screw,Fiber Board Mounting Screws
1,WP502L,"Potentiometer, 5K linear"
1,WP253L,"Potentiometer, 25K linear"
1,WP254L,"Potentiometer, 250K linear"
3,WP105A,"Potentiometer, 1 meg audio"
,,
1,MFR470-.5,"Resistor, 470, 1/2 watt"
2,MFR820-.5,"Resistor, 820, 1/2 watt"
2,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
1,MFR10K-.5,"Resistor, 10K, 1/2 watt"
1,MFR15K-.5,"Resistor, 15K, 1/2 watt"
3,MFR56K-.5,"Resistor, 56K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
1,MFR82K-.5,"Resistor, 82K, 1/2 watt"
5,MFR100K-.5,"Resistor, 100K, 1/2 watt"
2,MFR220K-.5,"Resistor, 220K, 1/2 watt"
2,MFR270K-.5,"Resistor, 270K, 1/2 watt"
4,MFR1M-.5,"Resistor, 1M, 1/2 watt"
4,MFR470-1,"Resistor, 470, 1 watt"
1,MFR4.7K-2,"Resistor, 4.7K, 2 watt"
1,MFR10K-2,"Resistor, 10K, 2 watt"
1,1N4007,Diode rectifier
1,SMC470-500,"Capacitor, 47pF, 500 volts"
1,SMC101-500,"Capacitor, 100pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
5,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
1,EC257-25,"Capacitor, 250uF, 25 volts"
2,EC805-150,"Capacitor, 8uF, 150 volts"
1,EC805-450,"Capacitor, 8uF, 450 volts"
4,EC206-450,"Capacitor, 20uF, 450 volts"
