Weber 6A14 Combo Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-6A14 Combo,"Cabinet, 6A14 Combo, complete, covering per customer spec."
1,6A14KT,"6A14 Chassis kit. Chassis, brass plate, fiber boards"
1,WCC-6A14,"Cap Can, 6A14   20-20-20-20"
, Speakers,"Speakers, chosen by customer"
1,W025130 (EU),"Transformer, power   USA  EU"
1,W041318,"Transformer, output"
1,W022921,"Transformer, reverb"
1,WU4GB,Copper Cap Rectifier
2,6V6GT,Vacuum tube
3,12AX7B,Vacuum tube
1,12AT7,Vacuum tube
1,4AB3C1B,Reverb pan
1,AUX1,Auxiliary power socket
1,IEC1,IEC power socket
1,FS-FEN-2 ,"Footswitch,  2 button, Fender type, with phono plugs "
2,CBL-RVB-4,"Cable, reverb, 4', straight plug on both ends"
1,PC-IEC,"Power cord, IEC"
,,
1,CCW-6A14C,"Kit, cloth covered wire, 6A14 Combo"
,"( 10 ft. Red, Yellow, Green, 6ft black and white)",
6,FK-skirt-blk,"Knob, black, 1-10, skirt"
1,CF-2,"Fuse, 2 amp"
,,
3,SKT8,"Tube socket, octal"
4,SKT9,"Tube socket, 9 pin"
3,TR-8,"Clamp, octal"
14,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
6,Spacer-SKT ,"Spacer, nylon, for SKT8"
,,
1,PP-RC,"Phone plug, cable mount, right angle"
4,RJ-P,"Phono (RCA) jack, chassis mount."
1,FH-2,Fuseholder
4,CB-3,"Bolt, chassis, chrome, with nut"
2,CS-4,"Chassis strap, 4"", chrome"
1,PL-2,"Pilot light, red"
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
1,PJP,"Chassis mount phone jack, non shorting"
3,PJP-S,"Chassis mount phone jack, shorting"
16,Small Grommet,"9/16"" OD  Chassis Grommets"
1,Wire Nut,"Wire Nut, small"
5,#8 sheet metal screw,Fiber Board Mounting Screws
4,T-Nut,T-Nut for mounting reverb pan
4,"2"" drywall screw","2"" black drywall screw for mounting reverb pan"
8,Spring,Reverb mounting spring
1,WP503L-Slot,"Potentiometer, 50K linear, with screwdriver slot"
1,WP104L,"Potentiometer, 100K linear"
1,WP254L,"Potentiometer, 250K linear"
2,WP254A,"Potentiometer, 250K audio"
1,WP105A ,"Potentiometer, 1 meg audio"
1,WP105A-PPSW,"Potentiometer, 1 meg audio (optional MV)"
1,WP305RA,"Potentiometer, 3 meg reverse audio"
,,
1,MFR47-.5,"Resistor, 47 ohms, 1/2 Watt"
2,MFR100-.5,"Resistor, 100 ohm, 1/2 watt"
1,MFR1K-.5,"Resistor, 1K, 1/2 watt"
6,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
1,MFR2.2K-.5,"Resistor, 2.2K, 1/2 watt"
1,MFR2.7K-.5,"Resistor, 2.7K, 1/2 watt"
1,MFR3.3K-.5,"Resistor, 3.3K, 1/2 watt"
1,MFR6.8K-.5,"Resistor, 6.8K, 1/2 watt"
1,MFR10K-.5,"Resistor, 10K, 1/2 watt"
1,MFR22K-.5,"Resistor, 22K, 1/2 watt"
2,MFR56K-.5,"Resistor, 56K, 1/2 watt"
2,MFR68K-.5,"Resistor, 68K, 1/2 watt"
6,MFR100K-.5,"Resistor, 100K, 1/2 Watt"
4,MFR220K-.5,"Resistor, 220K, 1/2 watt"
1,MFR470K-.5,"Resistor, 470K, 1/2 watt"
6,MFR1M-.5,"Resistor, 1M, 1/2 watt"
1,MFR3.3M-.5,"Resistor, 3.3M, 1/2 watt"
2,MFR470-1,"Resistor, 470, 1 watt"
1,MFR10K-1,"Resistor, 10K, 1 watt"
1,MFR22K-2,"Resistor, 22K, 2 watt"
1,MFR1K-2,"Resistor, 1K, 2 watt"
1,1N4007,Diode rectifier
6,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC506-150,"Capacitor, 50uF, 150 volts"
1,PEC332-630,"Capacitor, .0033uF, 630 Volts"
2,PEC103-630,"Capacitor, .01uF, 630 volts"
4,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
1,SMC100-500,"Capacitor, 10pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
1,SMC501-500,"Capacitor, 500pF, 500 volts"
