Weber 6G13 Head Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-6A40 Head,"Cabinet, 6A40 Head, complete, covering per customer spec."
1,6A40KT,"6A40 Chassis kit. chassis, brass plate"
1,6G13FB,6G13 fiber board set
1,6A40-CAP board,"cap board set, 6A40, with cap board cover"
1,W022798 (EU),"Transformer, power   USA  EU"
1,W018343,"Transformer, output"
,,See schematic and layout for proper wiring.
1,W022699,Choke
1,WZ68,Copper Cap Rectifier
2,5881,Vacuum tube
6,12AX7B,Vacuum tube
1,AUX1,Auxiliary power socket
1,IEC1,IEC power socket,,
1,WSW-FS-1,"Footswitch,  1 button,  include 1  RP-C male RCA plug.",,
,,"Customer: Remove 1/4"" phone plug and install RCA plug.",,
1,PC-IEC,"Power cord, IEC",,
,,,,
1,CCW-5A40H,"Kit, cloth covered wire, 5A40 Head",,
,"( 16 ft. Red, Yellow, Green)",,,
9,FK-skirt-blk,"Knob, black, 1-10, skirt",,
1,CF-3,"Fuse, 3 amp",,
,,,,
3,SKT8,"Tube socket, octal",,
6,SKT9,"Tube socket, 9 pin",,
3,TR-8,"Clamp, octal",,
1,TS-2,"Terminal strip, two terminals",,
18,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer",,
6,Spacer-SKT ,"Spacer, nylon, for SKT8",,
,,,,
1,RJ-P,"Phono (RCA) jack, chassis mount.",,
1,RP-C,"RCA plug, male, cable mount",,
1,FH-2,Fuseholder,,
4,CB-3,"Bolt, chassis, chrome, with nut",,
2,CS-5,"Chassis strap, 5"", chrome",,
1,PL-2,"Pilot light, red",,
3,WSW-SPST-1,"Switch, toggle, panel mount, SPST",,
2,PJP,"Chassis mount phone jack, non shorting",,
5,PJP-S,"Chassis mount phone jack, shorting",,
8,Small Grommet,"9/16"" OD  Chassis Grommets",,
1,TS-2,Terminal Strip,,
1,Wire Nut,"Wire Nut, small",,
7,#8 sheet metal screw,Fiber Board Mounting Screws,,
1,WP253L,"Potentiometer, 25K linear",,
1,WP503L-slot,Potentiometer 50K linear screwdriver slot,,
2,WP254A,"Potentiometer, 250K audio"
2,WP354AT,"Potentiometer, 350K, tapped at 70K"
2,WP105A,"Potentiometer, 1M audio"
2,WP106RA,"Potentiometer, 10M reverse audio"
,,
2,MFR820-.5,"Resistor, 820, 1/2 watt"
5,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
3,MFR4.7K-.5,"Resistor, 4.7K, 1/2 watt"
3,MFR6.8K-.5,"Resistor, 6.8K, 1/2 watt"
1,MFR10K-.5,"Resistor, 10K, 1/2 watt"
1,MFR27K-.5,"Resistor, 27K, 1/2 watt"
2,MFR56K-.5,"Resistor, 56K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
1,MFR82K-.5,"Resistor, 82K, 1/2 watt"
11,MFR100K-.5,"Resistor, 100K, 1/2 Watt"
4,MFR220K-.5,"Resistor, 220K, 1/2 watt"
4,MFR470K-.5,"Resistor, 470K, 1/2 watt"
11,MFR1M-.5,"Resistor, 1M, 1/2 watt"
1,MFR2.2M-.5,"Resistor, 2.2M, 1/2 watt"
1,MFR10M-.5,"Resistor, 10M, 1/2 watt"
3,MFR470-1,"Resistor, 470, 1 watt"
3,MFR27K-2,"Resistor, 27K, 2 watt"
1,MFR4.7K-2,"Resistor, 4.7K, 2 watt"
2,MFR220K-2,"Resistor, 220K, 2 watt"
1,1N4007,Diode rectifier
6,1N5408,Diode rectifier
1,EC475-50,"Capacitor, 4.7uF, 50 volts"
4,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC506-150,"Capacitor, 50uF, 150 volts"
6,EC206-450,"Capacitor, 20uF, 450 volts"
2,EC107-450,"Capacitor, 100uF, 450 volts"
1,PEC102-630,"Capacitor, .001uF, 630 volts"
3,PEC332-630,"Capacitor, .0033uF, 630 volts"
1,PEC472-630,"Capacitor, .0047uF, 630 Volts"
4,PEC103-630,"Capacitor, .01uF, 630 volts"
4,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC333-630,"Capacitor, .033uF, 630 volts"
4,PEC473-630,"Capacitor, .047uF, 630 volts"
10,PEC104-630,"Capacitor, .1uF, 630 volts"
1,SMC470-500,"Capacitor, 47pf, 630 volts"
3,SMC251-500,"Capacitor, 250pF, 500 volts"
