Weber 6M36TMB  Combo Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,6M36 Combo Cab,6m45 Combo cabinet
1,6M36KT,"6M36 Combo chassis kit. chassis, brass plate, fiber board, "
,,"TMB plexi panel, pilot lamp chosen by customer. "
 ,Speaker(s),Speaker(s)  chosen by customer.
 ,#8-32 Nut,"4 or 8, for mounting speaker(s), depending on cabinet chosen"
1,6M18 standoff kit,"Kit, standoff, 6M18. 4 nylon standoff, 8 each 4-40x3/8 screw, "
,,8 each #4 internal tooth lockwasher 
1,6M45-lamp, Red  White  Green (Customer selected) 
1,W025130 (EU),Power Transformer    USA  EU
1,W018343,"Transformer, output"
1,WZ34,Copper Cap Rectifier
4,EL84,Vacuum tube
1,12AT7,Vacuum tube
3,12AX7B,Vacuum tube
1,WCC-6M36,"Weber Cap Can,  3x40uF at 450 volts w/2 #4-40 bolts and nuts"
1,PC-CUT,"Power cord, cut end"
,,
1,CCW-6M36,"Kit, cloth covered wire, 6M36"
,"( 12 ft. Red, Yellow, Green, 4 ft. Black, White)",
6,MRK,"Knob, brown, Marshall Style"
1,CF-2,"Fuse, 2 amp"
,,
3,SKT9,"Tube socket, 9 pin"
4,SKT9A,"Tube socket assembly, 9 pin"
1,SKT8A,"Tube socket, octal"
4,TR-84,Tube retainer
1,TR-8,Tube retainer
18,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut w/integral star washer"
,,
4,PJ-P-CL,"Chassis mount phone jack, Cliff type"
1,FH-2,Fuseholder
4,CB-6M45,"8-32 x 3/4"" Chassis bolt with finshing washer"
1,6N-4,Strain relief
2,WSW-SPST-1,"Switch, toggle, panel mount, SPST"
2,Large Grommet,"9/16"" OD Chassis Grommets"
3,Wire Nut,"Wire Nut, small"
1,WP253L,"Potentiometer, 25K Linear"
1,WP254L         ,"Potentiometer, 250K Linear"
3,WP504A,"Potentiometer, 500K Audio"
1,WP105A,"Potentiometer, 1 meg audio"
,,
1,RES470-5,"Resistor, 470, 5 watt"
2,RES50-10,"Resistor, 50, 10 watt"
2,MFR820-.5,"Resistor, 820, 1/2 watt"
1,MFR1K-.5,"Resistor, 1K, 1/2 watt"
2,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
4,MFR5.6K-.5,"Resistor, 5.6K, 1/2 watt"
2,MFR8.2K-.5,"Resistor, 8.2K, 1/2 watt"
3,MFR56K-.5,"Resistor, 56K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
6,MFR100K-.5,"Resistor, 100K, 1/2 watt"
5,MFR470K-.5,"Resistor, 470K, 1/2 watt"
2,MFR1M-.5,"Resistor, 1M ohm, 1/2 watt"
1,MFR10K-1,"Resistor, 10K, 1 watt"
1,MFR2.7K-2,"Resistor, 2.7K, 2 watt"
1,MFR6.8K-2,"Resistor, 6.8K, 2 watt"
1,MFR1K-5,"Resistor, 1K, 5 watt"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
2,PEC472-630,"Capacitor, .0047uF, 630 volts"
3,PEC103-630,"Capacitor, .01uF, 630 volts"
3,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC104-630,"Capacitor, .1uF, 630 volts"
2,EC506-150,"Capacitor, 50uF, 150 volts"
1,EC107-150,"Capacitor, 100uF, 150 volts"
1,EC406-450,"Capacitor, 40uF, 450 votls"
