Weber 6M40 Combo Amp Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-6M40 Combo,"Cabinet, 6M40 Combo, complete, baffle per customer selection"
1,6M40KT,"6M40 Chassis kit. Chassis, brass plate, 6A40 main fiber boards"
1,5A40FB_PS,cap fiber board
,Speaker(s),Speaker(s) per customer order specification
,#8-32 Nut,"4 to 16, for mounting speaker(s), depending on cabinet chosen"
1,W022798 (EU),"Transformer, power   USA  EU"
1,W018343,"Transformer, output"
1,W022921,"Transformer, reverb"
1,W022699,Choke
1,WZ34,Copper Cap Rectifier
2,EL34,Vacuum tube
4,12AX7B,Vacuum tube
2,12AT7,Vacuum tube
1,FS-Mojo-2 ,"Footswitch,  2 button with phone plug. "
1,4AB3C1B,Reverb pan
2,CBL-RVB-4,"Cable, reverb, 4', right angle plug on both ends"
1,PC-CUT,"Power cord, cut end"
,,
1,CCW-5A40,"Kit, cloth covered wire, 5A40"
,"( 16 ft. Red, Yellow, Green, 6 ft. Black, White)",
10,MRK,"Knob, brown with gold cap and black pointer line"
1,CF-3,"Fuse, 3 amp"
,,
3,SKT8,"Tube socket, octal"
6,SKT9,"Tube socket, 9 pin"
3,TR-8,"Clamp, octal"
18,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
6,Spacer-SKT ,"Spacer, nylon, for SKT8"
,,
1,PP-C,"Phone plug, cable mount"
2,RJ-P-2,"Phono Jack, panel mount, with #4-40 hardware."
1,FH-2,Fuseholder
2,CB-1.5,"Bolt, chassis, tweed style, chrome, with nut"
1,PL-2,"Pilot light, red"
1,6N-4,Strain relief
1,PJ-P,"Chassis mount phone jack, non shorting type"
5,PJ-P-S,"Chassis mount phone jack, shorting type"
1,PJP-ST,"Phone Jack, panel mount, stereo (for footswitch)"
16,Small Grommet,"9/16"" OD  Chassis Grommets"
1,WSW-DPDT-F-15-CO ,"Switch, toggle, panel mount, DPDT, center off"
4,Nut-#8-32,"Nut, #8-32 with integral washer (for mounting reverb pan)"
1,Wire Nut,"Wire Nut, small"
4,#8 sheet metal screw,Fiber Board Mounting Screws
4,T-Nut,T-Nut for mounting reverb pan
4,"2"" drywall screw","2"" black drywall screw for mounting reverb pan"
8,Spring,Reverb mounting spring
1,WP253A,"Potentiometer, 25K audio"
1,WP503RAS,Potentiometer 50K reverse audio with switch
1,WP104L,"Potentiometer, 100K linear"
4,WP254A,"Potentiometer, 250K audio"
2,WP105A,"Potentiometer, 1 meg audio"
1,WP305RA,"Potentiometer, 3 meg reverse audio"
1,WP503L-PCB,"50K-L linear bias pot, PC mount"
,,
1,MFR100-.5,"Resistor, 100, 1/2 Watt"
1,MFR470-.5,"Resistor, 470, 1/2 watt"
3,MFR820-.5,"Resistor, 820, 1/2 watt"
4,MFR1500-.5,"Resistor, 1.5K, 1/2 watt"
2,MFR2.2K-.5,"Resistor, 2.2K, 1/2 watt"
1,MFR6.8K-.5,"Resistor, 6.8K, 1/2 watt"
1,MFR15K-.5,"Resistor, 15K, 1/2 watt"
1,MFR22K-.5,"Resistor, 22K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
1,MFR82K-.5,"Resistor, 82K, 1/2 watt"
12,MFR100K-.5,"Resistor, 100K, 1/2 Watt"
7,MFR220K-.5,"Resistor, 220K, 1/2 watt"
1,MFR470K-.5,"Resistor, 470K, 1/2 watt"
1,MFR820K-.5,"Resistor, 820K, 1/2 watt"
7,MFR1M-.5,"Resistor, 1M, 1/2 watt"
1,MFR2.2M-.5,"Resistor, 2.2M, 1/2 watt"
1,MFR3.3M-.5,"Resistor, 3.3M, 1/2 watt"
1,MFR10M-.5,"Resistor, 10M, 1/2 watt"
3,MFR470-1,"Resistor, 470, 1 watt"
1,MFR1K-1,"Resistor, 1K, 1 watt"
1,MFR4.7K-2,"Resistor, 4.7K, 2 watt"
2,MFR220K-2,"Resistor, 220K, 2 watt"
1,1N4007,Diode rectifier
7,EC256-25,"Capacitor, 25uF, 25 volts"
1,EC256-50,"Capacitor, 25uF, 50 volts"
3,EC206-450,"Capacitor, 20uF, 450 volts"
2,EC107-450,"Capacitor, 100uF, 450 volts"
1,PEC102-630,"Capacitor, .001uF, 630 volts"
1,PEC332-630,"Capacitor, .0033uF, 630 Volts"
2,PEC103-630,"Capacitor, .01uF, 630 volts"
4,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
6,PEC104-630,"Capacitor, .1uF, 630 volts"
1,SMC101-500,"Capacitor, 10pF, 500 volts"
2,SMC251-500,"Capacitor, 250pF, 500 volts"
1,SMC501-500,"Capacitor, 500pF, 500 volts"
1,OPT-1,Optocoupler
