Weber 6M45 Amp Combo Kit,,
Bill of Materials,,

Qty,Part Number,Description
1,CAB-6M45,"Cabinet, 6M45 Combo, covering color chosen by customer"
1,6M45KT,"6M45 Chassis kit. Chassis. brass plate, fiber board, Plexi Panel"
1,6M45FB-PS,6M45 Upright Cap Board
1,6M45-lamp, Red  White  Green (Customer selected)
 ,Speaker(s),Speaker(s) chosen by customer.
 ,#8-32 Nut,"4 or 8, for mounting speaker(s), depending on cabinet chosen"
1,WOT45 HHR or LHR,"Transformer, output   WOT45HHR  WOT45LHR"
1,W022798 (EU),"Transformer, power   USA  EU"
1,W022699,Choke
1,WZ34,Copper Cap Rectifier
2,KT66   ,Vacuum tube (Customer selected)
2,EL34   ,Vacuum tube (Customer selected)
3,12AX7B,Vacuum tube
1,6M45 Standoff Kit,"4 #4-40x3/4"" metal threaded standoff, 8 #4-40x3/8"" bolt w/star washer"
1,PC-IEC,"Power cord,  IEC end"
,,
1,CCW-6M45-Combo,"Kit, cloth covered wire, 6M45 Combo"
,"( 12 ft. Red, Yellow, Green, 6 ft. White, Black)",
6,MRK,"Knob, brown, Marshall Style"
1,CHK-11,"Knob, chicken head, flat top, black"
1,CF-.5,"Fuse, .5 amp"
1,CF-3,"Fuse,  3 amp"
,,
3,SKT9,"Tube socket, 9 pin"
3,SKT-8,"Tube socket, 8 pin"
1,TR-8,"Tube clamp, octal, for copper cap"
2,TR-34 or TR-8,Depends on output tubes chosen    EL34/TR-34  KT66/TR-8
12,Bolt-SKT,"Bolt, machine, #4-40x5/16, with nut and star washer"
6,spacer,"spacer, tube socket, nylon",,
,,,,
4,PJ-P-CL,"Chassis mount phone jack, Cliff type",,
1,IEC-1,"IEC Plug, chassis mount",, 
2,FH-2,Fuseholder,,
4,CB-6M45,"8-32 x 3/4"" Chassis bolt with finshing washer",,
2,WSW-SPST-1,"Switch, toggle, panel mount, SPST",,
2,PJP,"Chassis mount phone jack, non shorting",,
3,Large Grommet,"5/8"" OD  Chassis Grommet",,
1,KXM-5-2x3,Impedance Selector (sections paralleled),,
2,TS-2,Terminal Strip,,
1,Terminal,"Terminal, #8, solder lug",,
1,Wire Nut,"Wire Nut, small",,
1,WP502L,"Potentiometer, 5K Linear",,
1,WP253L,"Potentiometer, 25K Linear",,
1,WP254L         ,"Potentiometer, 250K Linear",,
3,WP105A,"Potentiometer, 1 meg audio"
1,WP503L-PCB,"Potentiometer, 50K, linear, fiber board mount"
,,
1,MFR470-.5,"Resistor, 470, 1/2 watt"
2,MFR820-.5,"Resistor, 820, 1/2 watt"
2,MFR1500-.5,"Resistor, 1500, 1/2 watt"
2,MFR10K-.5,"Resistor, 10K, 1/2 watt"
1,MFR15K-.5,"Resistor, 15K, 1/2 watt"
1,MFR27K-.5,"Resistor, 27K, 1/2 watt"
1,MFR56K-.5,"Resistor, 56K, 1/2 watt"
4,MFR68K-.5,"Resistor, 68K, 1/2 watt"
1,MFR82K-.5,"Resistor, 82K, 1/2 watt"
5,MFR100K-.5,"Resistor, 100K, 1/2 watt"
2,MFR220K-.5,"Resistor, 220K, 1/2 watt"
2,MFR270K-.5,"Resistor, 270K, 1/2 watt"
4,MFR1M-.5,"Resistor, 1M ohm, 1/2 watt"
6,MFR470-1,"Resistor, 470, 1 watt"
1,MFR8.2K-2,"Resistor, 8.2K, 2 watt"
1,MFR10K-2,"Resistor, 10K, 2 watt"
2,MFR220K-2,"Resistor, 220K, 2 watt"
1,MFR1K-5,"Resistor, 1K, 5 watt"
1,1N4007,Diode
1,SMC470-500,"Capacitor, 47pF, 500 volts"
1,SMC101-500,"Capacitor, 100pF, 500 volts"
1,SMC251-500,"Capacitor, 250pF, 500 volts"
1,SMC501-500,"Capacitor, 500pF, 500 volts"
5,PEC223-630,"Capacitor, .022uF, 630 volts"
1,PEC473-630,"Capacitor, .047uF, 630 volts"
4,PEC104-630,"Capacitor, .1uF, 630 volts"
1,EC257-25,"Capacitor, 250uF, 25 volts"
1,EC107-150,"Capacitor, 100uF, 150 volts"
2,EC166-450,"Capacitor, 16uF, 450 volts"
1,EC406-450,"Capacitor, 40uF, 450 volts"
2,EC107-450,"Capacitor, 100uF, 450 volts"
