Weber  Load Line  Kit,,

Bill of Materials,,

Qty,Part Number,Description
1,LL_ENC,"Enclosure, Load Line, with faceplate and feet"
2,WKW,"Knob, round, white"
3,PJP,"Phonejack, non-switching"
4ft,1017/red,"Wire, #22 solid, red"
2,RES*-50, 4       8       16 (Customer selected) 
1,WP103A,"Pot, 10K audio"
1,WP103L,"Pot, 10K linear"
1,WSW-DPDT-F5,"Switch, full size, DPDT"
1,PPC473-630,"Cap, Polypropylene, .047uF, 630V"
1,PPC501-630,"Cap, Polypropylene, .500pF, 630V"
1,MFR10K-.5,"Resistor, 10K, 1/2 watt"
,,































,,
