Weber  Safe Start Kit,,

Bill of Materials,,

Qty,Part Number,Description
1,SS_ENC,"Enclosure, Safe Start, with faceplate and feet"
8,But-Screw,"Button head screw, phillips head"
4ft,1017/red,"Wire, #22 solid, red"
1,WCB-5,"Circuit breaker, 5 amps"
1,IEC-1,"Plug, chassis mount, IEC"
1,AUX-1,"Socket, chassis mount, aux power"
1,Fen-jewel-red,"Lamp jewel cap, Fender type, red"
1,WSW-SPST-3,"Carling Switch, 110-63"
1,TS-3,Terminal Strip and #4 mounting hardware
1,#4 Nut/Bolt,"#4-40 x 3/8"" Bolt with nut for mounting TS-3"
1,MX100BP,"Lamp. Bi-pin, halogen, 100 watts"
,,
,,






























,,
