Date,Open,High,Low,Close,Volume
20-Sep-10,276.08,283.78,275.85,283.23,23546119
17-Sep-10,277.69,277.96,273.68,275.37,22659813
16-Sep-10,270.24,276.67,269.50,276.57,23289341
15-Sep-10,268.17,270.38,267.84,270.22,15334510
14-Sep-10,266.21,269.17,265.52,268.06,14576759
13-Sep-10,265.82,268.28,265.76,267.04,13884995
10-Sep-10,263.19,264.50,261.40,263.41,13848617
9-Sep-10,265.04,266.52,262.92,263.07,15663371
8-Sep-10,259.78,264.39,259.10,262.92,18805302
7-Sep-10,256.64,259.53,256.25,257.81,12243759
6-Sep-10,258.77,258.77,258.77,258.77,0
3-Sep-10,255.09,258.78,254.50,258.77,18599581
2-Sep-10,251.26,252.17,248.57,252.17,14836614
1-Sep-10,247.47,251.46,246.28,250.33,24894115
31-Aug-10,241.85,244.56,240.35,243.10,15028086
30-Aug-10,240.76,245.75,240.69,242.50,13688842
27-Aug-10,241.75,241.76,240.20,241.62,19592368
26-Aug-10,245.45,245.75,240.28,240.28,16660829
25-Aug-10,238.04,243.99,237.41,242.89,21187263
24-Aug-10,242.67,243.00,240.11,239.93,21519744
23-Aug-10,251.79,252.00,245.25,245.80,14788116
20-Aug-10,249.39,253.92,249.00,249.64,13722458
19-Aug-10,252.84,253.48,248.68,249.88,15239461
18-Aug-10,252.36,254.67,251.58,253.07,12131989
17-Aug-10,250.08,254.63,250.00,251.97,15094603
16-Aug-10,247.58,250.01,246.62,247.64,11372407
13-Aug-10,251.65,251.65,249.09,249.10,12673805
12-Aug-10,246.69,253.10,246.60,251.79,19104262
11-Aug-10,255.40,255.69,249.81,250.19,22144724
10-Aug-10,259.85,260.45,257.55,259.41,16139915
9-Aug-10,261.48,262.15,259.57,261.75,10825908
6-Aug-10,259.78,261.49,257.63,260.09,15893330
5-Aug-10,261.73,263.18,260.55,261.70,10334374
4-Aug-10,262.84,264.28,260.31,262.98,15019868
3-Aug-10,261.01,263.26,259.42,261.93,14851393
2-Aug-10,260.44,262.59,259.62,261.85,15288718
30-Jul-10,255.89,259.70,254.90,257.25,16016280
29-Jul-10,260.71,262.65,256.10,258.11,22993055
28-Jul-10,263.67,265.99,260.25,260.96,18570870
