Date,Open,High,Low,Close,Volume
11-Oct-10,24.74,24.74,24.50,24.59,27473247
8-Oct-10,24.62,24.65,24.37,24.57,41328991
7-Oct-10,24.62,24.75,24.28,24.53,50096043
6-Oct-10,24.32,24.54,24.13,24.43,50489603
5-Oct-10,24.06,24.45,23.91,24.35,78152892
4-Oct-10,23.96,23.99,23.78,23.91,98143158
1-Oct-10,24.77,24.82,24.30,24.38,62672276
30-Sep-10,24.61,24.83,24.36,24.49,61271057
29-Sep-10,24.63,24.66,24.40,24.50,44318896
28-Sep-10,24.80,24.90,24.35,24.68,56041120
27-Sep-10,24.85,24.99,24.59,24.73,43732859
24-Sep-10,24.64,24.80,24.58,24.78,51948788
23-Sep-10,24.51,24.59,24.36,24.43,46210109
22-Sep-10,24.89,24.97,24.36,24.61,94299353
21-Sep-10,25.42,25.42,25.08,25.15,52924157
20-Sep-10,25.28,25.52,25.11,25.43,49877219
17-Sep-10,25.40,25.53,25.08,25.22,70341518
16-Sep-10,25.06,25.37,25.05,25.33,44548260
15-Sep-10,25.10,25.22,24.92,25.12,56204376
14-Sep-10,25.04,25.35,24.89,25.03,87160392
13-Sep-10,24.20,25.29,24.09,25.11,114680387
10-Sep-10,23.98,24.03,23.79,23.85,58293790
9-Sep-10,24.19,24.21,23.99,24.01,46028831
8-Sep-10,24.07,24.20,23.74,23.93,65512329
7-Sep-10,24.10,24.30,23.92,23.96,51928618
6-Sep-10,24.29,24.29,24.29,24.29,0
3-Sep-10,24.24,24.45,24.20,24.29,64189016
2-Sep-10,23.88,23.95,23.71,23.94,48837044
1-Sep-10,23.67,23.95,23.54,23.90,65235852
31-Aug-10,23.60,23.73,23.32,23.46,66083495
30-Aug-10,23.74,23.82,23.60,23.64,45453037
27-Aug-10,23.88,23.93,23.51,23.93,60944493
26-Aug-10,24.09,24.19,23.79,23.82,49105276
25-Aug-10,24.00,24.22,23.87,24.10,47404767
24-Aug-10,24.09,24.35,24.02,24.04,66532358
23-Aug-10,24.44,24.56,24.24,24.28,51728126
20-Aug-10,24.31,24.40,24.20,24.23,49565732
19-Aug-10,24.62,24.74,24.21,24.44,54069035
18-Aug-10,24.68,24.95,24.41,24.82,46818826
17-Aug-10,24.71,24.96,24.60,24.71,52935026
16-Aug-10,24.36,24.61,24.30,24.50,40968392
13-Aug-10,24.35,24.67,24.25,24.40,45263430
12-Aug-10,24.42,24.61,24.40,24.49,70240460
11-Aug-10,24.68,24.90,24.56,24.86,76745824
10-Aug-10,25.33,25.34,24.88,25.07,87257683
9-Aug-10,25.55,25.73,25.37,25.61,57102542
6-Aug-10,25.18,25.56,25.02,25.55,55985489
5-Aug-10,25.49,25.58,25.21,25.37,64922012
4-Aug-10,26.15,26.24,25.44,25.73,78531804
